Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Radha, Heir to Keld",2.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Warrior']",Rare,PLC,2,2,None,"Whenever Radha, Heir to Keld attacks, you may add {R}{R}.\n{T}: Add {G}."
"Oros, the Avenger",6.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PLC,6,6,None,"Flying\nWhenever Oros, the Avenger deals combat damage to a player, you may pay {2}{W}. If you do, Oros deals 3 damage to each nonwhite creature."
Necrotic Sliver,3.0,"['B', 'W']","['B', 'W']",None,['Creature'],['Sliver'],Uncommon,PLC,2,2,None,"All Slivers have ""{3}, Sacrifice this permanent: Destroy target permanent."""
"Urborg, Tomb of Yawgmoth",0.0,None,None,['Legendary'],['Land'],None,Rare,PLC,None,None,None,Each land is a Swamp in addition to its other land types.
"Numot, the Devastator",6.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PLC,6,6,None,"Flying\nWhenever Numot, the Devastator deals combat damage to a player, you may pay {2}{R}. If you do, destroy up to two target lands."
Shivan Meteor,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PLC,None,None,None,"Shivan Meteor deals 13 damage to target creature.\nSuspend 2—{1}{R}{R} (Rather than cast this card from your hand, you may pay {1}{R}{R} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)"
Essence Warden,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Common,PLC,1,1,None,"Whenever another creature enters the battlefield, you gain 1 life."
Wild Pair,6.0,['G'],['G'],None,['Enchantment'],None,Rare,PLC,None,None,None,"Whenever a creature enters the battlefield, if you cast it from your hand, you may search your library for a creature card with the same total power and toughness, put it onto the battlefield, then shuffle."
Vitaspore Thallid,2.0,['G'],['G'],None,['Creature'],['Fungus'],Common,PLC,1,1,None,"At the beginning of your upkeep, put a spore counter on Vitaspore Thallid.\nRemove three spore counters from Vitaspore Thallid: Create a 1/1 green Saproling creature token.\nSacrifice a Saproling: Target creature gains haste until end of turn."
"Vorosh, the Hunter",6.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],['Dragon'],Rare,PLC,6,6,None,"Flying\nWhenever Vorosh, the Hunter deals combat damage to a player, you may pay {2}{G}. If you do, put six +1/+1 counters on Vorosh."
Utopia Vow,2.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,PLC,None,None,None,"Enchant creature\nEnchanted creature can't attack or block.\nEnchanted creature has ""{T}: Add one mana of any color."""
"Teneb, the Harvester",6.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PLC,6,6,None,"Flying\nWhenever Teneb, the Harvester deals combat damage to a player, you may pay {2}{B}. If you do, put target creature card from a graveyard onto the battlefield under your control."
Fury Charm,2.0,['R'],['R'],None,['Instant'],None,Common,PLC,None,None,None,Choose one —\n• Destroy target artifact.\n• Target creature gets +1/+1 and gains trample until end of turn.\n• Remove two time counters from target permanent or suspended card.
Uktabi Drake,1.0,['G'],['G'],None,['Creature'],['Drake'],Common,PLC,2,1,None,"Flying, haste\nEcho {1}{G}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)"
Dust Corona,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,PLC,None,None,None,Enchant creature\nEnchanted creature gets +2/+0 and can't be blocked by creatures with flying.
Timbermare,4.0,['G'],['G'],None,['Creature'],"['Elemental', 'Horse']",Rare,PLC,5,5,None,"Haste\nEcho {5}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Timbermare enters the battlefield, tap all other creatures."
"Akroma, Angel of Fury",8.0,['R'],['R'],['Legendary'],['Creature'],['Angel'],Rare,PLC,6,6,None,"This spell can't be countered.\nFlying, trample, protection from white and from blue\n{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.\nMorph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Sophic Centaur,4.0,['G'],['G'],None,['Creature'],"['Centaur', 'Spellshaper']",Uncommon,PLC,1,1,None,"{2}{G}{G}, {T}, Discard a card: You gain 2 life for each card in your hand."
Shrouded Lore,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PLC,None,None,None,"Target opponent chooses a card in your graveyard. You may pay {B}. If you do, repeat this process except that opponent can't choose a card already chosen for Shrouded Lore. Then put the last chosen card into your hand."
Reflex Sliver,4.0,['G'],['G'],None,['Creature'],['Sliver'],Common,PLC,2,2,None,All Sliver creatures have haste.
Melancholy,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,PLC,None,None,None,"Enchant creature\nWhen Melancholy enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.\nAt the beginning of your upkeep, sacrifice Melancholy unless you pay {B}."
Psychotrope Thallid,3.0,['G'],['G'],None,['Creature'],['Fungus'],Uncommon,PLC,1,1,None,"At the beginning of your upkeep, put a spore counter on Psychotrope Thallid.\nRemove three spore counters from Psychotrope Thallid: Create a 1/1 green Saproling creature token.\n{1}, Sacrifice a Saproling: Draw a card."
Kor Dirge,3.0,['B'],['B'],None,['Instant'],None,Uncommon,PLC,None,None,None,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.
Pouncing Wurm,4.0,['G'],['G'],None,['Creature'],['Wurm'],Uncommon,PLC,3,3,None,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)\nIf Pouncing Wurm was kicked, it enters the battlefield with three +1/+1 counters on it and with haste."
Bog Serpent,6.0,['B'],['B'],None,['Creature'],['Serpent'],Common,PLC,5,5,None,"Bog Serpent can't attack unless defending player controls a Swamp.\nWhen you control no Swamps, sacrifice Bog Serpent."
Mire Boa,2.0,['G'],['G'],None,['Creature'],['Snake'],Common,PLC,2,1,None,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\n{G}: Regenerate Mire Boa. (The next time this creature would be destroyed, instead tap it, remove it from combat, and heal all damage on it.)"
Temporal Extortion,4.0,['B'],['B'],None,['Sorcery'],None,Rare,PLC,None,None,None,"When you cast this spell, any player may pay half their life, rounded up. If a player does, counter Temporal Extortion.\nTake an extra turn after this one."
Magus of the Library,2.0,['G'],['G'],None,['Creature'],"['Human', 'Wizard']",Rare,PLC,1,1,None,{T}: Add {C}.\n{T}: Draw a card. Activate only if you have exactly seven cards in hand.
Spitting Sliver,5.0,['B'],['B'],None,['Creature'],['Sliver'],Common,PLC,3,3,None,All Sliver creatures have first strike.
Reckless Wurm,5.0,['R'],['R'],None,['Creature'],['Wurm'],Uncommon,PLC,4,4,None,"Trample\nMadness {2}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Phantasmagorian,7.0,['B'],['B'],None,['Creature'],['Horror'],Uncommon,PLC,6,6,None,"When you cast this spell, any player may discard three cards. If a player does, counter Phantasmagorian.\nDiscard three cards: Return Phantasmagorian from your graveyard to your hand."
Hunting Wilds,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,PLC,None,None,None,"Kicker {3}{G} (You may pay an additional {3}{G} as you cast this spell.)\nSearch your library for up to two Forest cards, put them onto the battlefield tapped, then shuffle.\nIf this spell was kicked, untap all Forests put onto the battlefield this way. They become 3/3 green creatures with haste that are still lands."
Magus of the Coffers,5.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,PLC,4,4,None,"{2}, {T}: Add {B} for each Swamp you control."
Kavu Predator,2.0,['G'],['G'],None,['Creature'],['Kavu'],Uncommon,PLC,2,2,None,"Trample\nWhenever an opponent gains life, put that many +1/+1 counters on Kavu Predator."
Enslave,6.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,PLC,None,None,None,"Enchant creature\nYou control enchanted creature.\nAt the beginning of your upkeep, enchanted creature deals 1 damage to its owner."
Life and Limb,4.0,['G'],['G'],None,['Enchantment'],None,Rare,PLC,None,None,None,All Forests and all Saprolings are 1/1 green Saproling creatures and Forest lands in addition to their other types. (They're affected by summoning sickness.)
Deadly Grub,3.0,['B'],['B'],None,['Creature'],['Insect'],Common,PLC,3,1,None,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Deadly Grub dies, if it had no time counters on it, create a 6/1 green Insect creature token with shroud. (It can't be the target of spells or abilities.)"
Jedit Ojanen of Efrava,6.0,['G'],['G'],['Legendary'],['Creature'],"['Cat', 'Warrior']",Rare,PLC,5,5,None,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)\nWhenever Jedit Ojanen of Efrava attacks or blocks, create a 2/2 green Cat Warrior creature token with forestwalk."
Frenetic Sliver,3.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Sliver'],Uncommon,PLC,2,2,None,"All Slivers have ""{0}: If this permanent is on the battlefield, flip a coin. If you win the flip, exile this permanent and return it to the battlefield under its owner's control at the beginning of the next end step. If you lose the flip, sacrifice it."""
Giant Dustwasp,5.0,['G'],['G'],None,['Creature'],['Insect'],Common,PLC,3,3,None,"Flying\nSuspend 4—{1}{G} (Rather than cast this card from your hand, you may pay {1}{G} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)"
Dash Hopes,2.0,['B'],['B'],None,['Instant'],None,Common,PLC,None,None,None,"When you cast this spell, any player may pay 5 life. If a player does, counter Dash Hopes.\nCounter target spell."
Fungal Behemoth,4.0,['G'],['G'],None,['Creature'],['Fungus'],Rare,PLC,*,*,None,"Fungal Behemoth's power and toughness are each equal to the number of +1/+1 counters on creatures you control.\nSuspend X—{X}{G}{G}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{G}{G} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)\nWhenever a time counter is removed from Fungal Behemoth while it's exiled, you may put a +1/+1 counter on target creature."
Brain Gorgers,4.0,['B'],['B'],None,['Creature'],['Zombie'],Common,PLC,4,2,None,"When you cast this spell, any player may sacrifice a creature. If a player does, counter Brain Gorgers.\nMadness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Evolution Charm,2.0,['G'],['G'],None,['Instant'],None,Common,PLC,None,None,None,"Choose one —\n• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n• Return target creature card from your graveyard to your hand.\n• Target creature gains flying until end of turn."
Blightspeaker,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rebel', 'Cleric']",Common,PLC,1,1,None,"{T}: Target player loses 1 life.\n{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle."
