Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Flood,1.0,['U'],['U'],None,['Enchantment'],None,Uncommon,REN,None,None,None,{U}{U}: Tap target creature without flying.
Erosion,3.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,REN,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life."
Energy Tap,1.0,['U'],['U'],None,['Sorcery'],None,Common,REN,None,None,None,"Tap target untapped creature you control. If you do, add an amount of {C} equal to that creature's mana value."
Backfire,1.0,['U'],['U'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,"Enchant creature\nWhenever enchanted creature deals damage to you, Backfire deals that much damage to that creature's controller."
Apprentice Wizard,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,REN,0,1,None,"{U}, {T}: Add {C}{C}{C}."
Visions,1.0,['W'],['W'],None,['Sorcery'],None,Uncommon,REN,None,None,None,Look at the top five cards of target player's library. You may then have that player shuffle that library.
Alabaster Potion,2.0,['W'],['W'],None,['Instant'],None,Common,REN,None,None,None,Choose one —\n• Target player gains X life.\n• Prevent the next X damage that would be dealt to any target this turn.
Seeker,4.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,Enchant creature\nEnchanted creature can't be blocked except by artifact creatures and/or white creatures.
Amrou Kithkin,2.0,['W'],['W'],None,['Creature'],['Kithkin'],Common,REN,1,1,None,Amrou Kithkin can't be blocked by creatures with power 3 or greater.
Tundra Wolves,1.0,['W'],['W'],None,['Creature'],['Wolf'],Common,REN,1,1,None,First strike (This creature deals combat damage before creatures without first strike.)
Piety,3.0,['W'],['W'],None,['Instant'],None,Common,REN,None,None,None,Blocking creatures get +0/+3 until end of turn.
Spirit Link,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature deals damage, you gain that much life."
Strip Mine,0.0,None,None,None,['Land'],None,Uncommon,REN,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Strip Mine: Destroy target land."
Land Tax,1.0,['W'],['W'],None,['Enchantment'],None,Uncommon,REN,None,None,None,"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle."
Osai Vultures,2.0,['W'],['W'],None,['Creature'],['Bird'],Common,REN,1,1,None,"Flying\nAt the beginning of each end step, if a creature died this turn, put a carrion counter on Osai Vultures.\nRemove two carrion counters from Osai Vultures: Osai Vultures gets +1/+1 until end of turn."
Pikemen,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,REN,1,1,None,"First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Oasis,0.0,None,None,None,['Land'],None,Uncommon,REN,None,None,None,{T}: Prevent the next 1 damage that would be dealt to target creature this turn.
Morale,3.0,['W'],['W'],None,['Instant'],None,Common,REN,None,None,None,Attacking creatures get +1/+1 until end of turn.
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,REN,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Elder Land Wurm,7.0,['W'],['W'],None,['Creature'],"['Dragon', 'Wurm']",Uncommon,REN,5,5,None,"Defender, trample\nWhen Elder Land Wurm blocks, it loses defender."
Yotian Soldier,3.0,None,None,None,"['Artifact', 'Creature']",['Soldier'],Common,REN,1,4,None,Vigilance
Kismet,4.0,['W'],['W'],None,['Enchantment'],None,Uncommon,REN,None,None,None,"Artifacts, creatures, and lands your opponents control enter the battlefield tapped."
Winter Blast,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,REN,None,None,None,Tap X target creatures. Winter Blast deals 2 damage to each of those creatures with flying.
Divine Transformation,4.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,Enchant creature\nEnchanted creature gets +3/+3.
Fortified Area,3.0,['W'],['W'],None,['Enchantment'],None,Uncommon,REN,None,None,None,"Wall creatures you control get +1/+0 and have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Angry Mob,4.0,['W'],['W'],None,['Creature'],['Human'],Uncommon,REN,2+*,2+*,None,"Trample\nAs long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2."
White Mana Battery,4.0,None,['W'],None,['Artifact'],None,Uncommon,REN,None,None,None,"{2}, {T}: Put a charge counter on White Mana Battery.\n{T}, Remove any number of charge counters from White Mana Battery: Add {W}, then add an additional {W} for each charge counter removed this way."
Circle of Protection: Artifacts,2.0,['W'],['W'],None,['Enchantment'],None,Uncommon,REN,None,None,None,"{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage."
Radjan Spirit,4.0,['G'],['G'],None,['Creature'],['Spirit'],Uncommon,REN,3,2,None,{T}: Target creature loses flying until end of turn.
Urza's Avenger,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Uncommon,REN,4,4,None,"{0}: Urza's Avenger gets -1/-1 and gains your choice of banding, flying, first strike, or trample until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,REN,2,3,None,Defender (This creature can't attack.)\nFirst strike
Whirling Dervish,2.0,['G'],['G'],None,['Creature'],"['Human', 'Monk']",Uncommon,REN,1,1,None,"Protection from black\nAt the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it."
