Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Embercleave,6.0,['R'],['R'],['Legendary'],['Artifact'],['Equipment'],Mythic,PELD,None,None,None,"Flash\nThis spell costs {1} less to cast for each attacking creature you control.\nWhen Embercleave enters the battlefield, attach it to target creature you control.\nEquipped creature gets +1/+1 and has double strike and trample.\nEquip {3}"
Lochmere Serpent,6.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Serpent'],Rare,PELD,7,7,None,"Flash\n{U}, Sacrifice an Island: Lochmere Serpent can't be blocked this turn.\n{B}, Sacrifice a Swamp: You gain 1 life and draw a card.\n{U}{B}: Exile five target cards from an opponent's graveyard. Return Lochmere Serpent from your graveyard to your hand. Activate only as a sorcery."
The Magic Mirror,9.0,['U'],['U'],['Legendary'],['Artifact'],None,Mythic,PELD,None,None,None,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.\nYou have no maximum hand size.\nAt the beginning of your upkeep, put a knowledge counter on The Magic Mirror, then draw a card for each knowledge counter on The Magic Mirror."
"Garruk, Cursed Huntsman",6.0,"['B', 'G']","['B', 'G']",['Legendary'],['Planeswalker'],['Garruk'],Mythic,PELD,None,None,5,"[0]: Create two 2/2 black and green Wolf creature tokens with ""When this creature dies, put a loyalty counter on each Garruk you control.""\n[−3]: Destroy target creature. Draw a card.\n[−6]: You get an emblem with ""Creatures you control get +3/+3 and have trample."""
"Rankle, Master of Pranks",4.0,['B'],['B'],['Legendary'],['Creature'],"['Faerie', 'Rogue']",Mythic,PELD,3,3,None,"Flying, haste\nWhenever Rankle, Master of Pranks deals combat damage to a player, choose any number —\n• Each player discards a card.\n• Each player loses 1 life and draws a card.\n• Each player sacrifices a creature."
"Gadwick, the Wizened",3.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,PELD,3,3,None,"When Gadwick, the Wizened enters the battlefield, draw X cards.\nWhenever you cast a blue spell, tap target nonland permanent an opponent controls."
Faeburrow Elder,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Treefolk', 'Druid']",Rare,PELD,0,0,None,"Vigilance\nFaeburrow Elder gets +1/+1 for each color among permanents you control.\n{T}: For each color among permanents you control, add one mana of that color."
Piper of the Swarm,2.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Rare,PELD,1,3,None,"Rats you control have menace.\n{1}{B}, {T}: Create a 1/1 black Rat creature token.\n{2}{B}{B}, {T}, Sacrifice three Rats: Gain control of target creature."
"Torbran, Thane of Red Fell",4.0,['R'],['R'],['Legendary'],['Creature'],"['Dwarf', 'Noble']",Rare,PELD,2,4,None,"If a red source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead."
Escape to the Wilds,5.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,PELD,None,None,None,Exile the top five cards of your library. You may play cards exiled this way until the end of your next turn.\nYou may play an additional land this turn.
Folio of Fancies,2.0,['U'],['U'],None,['Artifact'],None,Rare,PELD,None,None,None,"Players have no maximum hand size.\n{X}{X}, {T}: Each player draws X cards.\n{2}{U}, {T}: Each opponent mills cards equal to the number of cards in their hand."
Sundering Stroke,7.0,['R'],['R'],None,['Sorcery'],None,Rare,PELD,None,None,None,"Sundering Stroke deals 7 damage divided as you choose among one, two, or three targets. If at least seven red mana was spent to cast this spell, instead Sundering Stroke deals 7 damage to each of those permanents and/or players."
Robber of the Rich,2.0,['R'],['R'],None,['Creature'],"['Human', 'Archer', 'Rogue']",Mythic,PELD,2,2,None,"Reach, haste\nWhenever Robber of the Rich attacks, if defending player has more cards in hand than you, exile the top card of their library. During any turn you attacked with a Rogue, you may cast that card and you may spend mana as though it were mana of any color to cast that spell."
Doom Foretold,4.0,"['B', 'W']","['B', 'W']",None,['Enchantment'],None,Rare,PELD,None,None,None,"At the beginning of each player's upkeep, that player sacrifices a nonland, nontoken permanent. If that player can't, they discard a card, they lose 2 life, you draw a card, you gain 2 life, you create a 2/2 white Knight creature token with vigilance, then you sacrifice Doom Foretold."
Opportunistic Dragon,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,PELD,4,3,None,"Flying\nWhen Opportunistic Dragon enters the battlefield, choose target Human or artifact an opponent controls. For as long as Opportunistic Dragon remains on the battlefield, gain control of that permanent, it loses all abilities, and it can't attack or block."
