Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Unmask,4.0,['B'],['B'],None,['Sorcery'],None,Mythic,V16,None,None,None,You may exile a black card from your hand rather than pay this spell's mana cost.\nTarget player reveals their hand. You choose a nonland card from it. That player discards that card.
Tolaria West,0.0,None,['U'],None,['Land'],None,Mythic,V16,None,None,None,"Tolaria West enters the battlefield tapped.\n{T}: Add {U}.\nTransmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with mana value 0, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)"
Near-Death Experience,5.0,['W'],['W'],None,['Enchantment'],None,Mythic,V16,None,None,None,"At the beginning of your upkeep, if you have exactly 1 life, you win the game."
Obliterate,8.0,['R'],['R'],None,['Sorcery'],None,Mythic,V16,None,None,None,"This spell can't be countered.\nDestroy all artifacts, creatures, and lands. They can't be regenerated."
Phyrexian Processor,4.0,None,None,None,['Artifact'],None,Mythic,V16,None,None,None,"As Phyrexian Processor enters the battlefield, pay any amount of life.\n{4}, {T}: Create an X/X black Phyrexian Minion creature token, where X is the life paid as Phyrexian Processor entered the battlefield."
"Momir Vig, Simic Visionary",5.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Wizard']",Mythic,V16,2,2,None,"Whenever you cast a green creature spell, you may search your library for a creature card, reveal it, then shuffle and put that card on top.\nWhenever you cast a blue creature spell, reveal the top card of your library. If it's a creature card, put that card into your hand."
Mind's Desire,6.0,['U'],['U'],None,['Sorcery'],None,Mythic,V16,None,None,None,"Shuffle your library. Then exile the top card of your library. Until end of turn, you may play that card without paying its mana cost.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.)"
Conflux,8.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",None,['Sorcery'],None,Mythic,V16,None,None,None,"Search your library for a white card, a blue card, a black card, a red card, and a green card. Reveal those cards, put them into your hand, then shuffle."
Dark Depths,0.0,None,None,"['Legendary', 'Snow']",['Land'],None,Mythic,V16,None,None,None,"Dark Depths enters the battlefield with ten ice counters on it.\n{3}: Remove an ice counter from Dark Depths.\nWhen Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible."
Memnarch,7.0,None,['U'],['Legendary'],"['Artifact', 'Creature']",['Wizard'],Mythic,V16,4,5,None,{1}{U}{U}: Target permanent becomes an artifact in addition to its other types. (This effect lasts indefinitely.)\n{3}{U}: Gain control of target artifact. (This effect lasts indefinitely.)
Beseech the Queen,6.0,['B'],['B'],None,['Sorcery'],None,Mythic,V16,None,None,None,"({2/B} can be paid with any two mana or with {B}. This card's mana value is 6.)\nSearch your library for a card with mana value less than or equal to the number of lands you control, reveal it, put it into your hand, then shuffle."
Helvault,3.0,None,None,['Legendary'],['Artifact'],None,Mythic,V16,None,None,None,"{1}, {T}: Exile target creature you control.\n{7}, {T}: Exile target creature you don't control.\nWhen Helvault is put into a graveyard from the battlefield, return all cards exiled with it to the battlefield under their owners' control."
Umezawa's Jitte,2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Mythic,V16,None,None,None,"Whenever equipped creature deals combat damage, put two charge counters on Umezawa's Jitte.\nRemove a charge counter from Umezawa's Jitte: Choose one —\n• Equipped creature gets +2/+2 until end of turn.\n• Target creature gets -1/-1 until end of turn.\n• You gain 2 life.\nEquip {2}"
"Glissa, the Traitor",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Phyrexian', 'Zombie', 'Elf']",Mythic,V16,3,3,None,"First strike, deathtouch\nWhenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand."
Cabal Ritual,2.0,['B'],['B'],None,['Instant'],None,Mythic,V16,None,None,None,Add {B}{B}{B}.\nThreshold — Add {B}{B}{B}{B}{B} instead if seven or more cards are in your graveyard.
