Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,MMQ,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,MMQ,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,MMQ,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,MMQ,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,MMQ,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,MMQ,None,None,None,({T}: Add {U}.)
Afterlife,3.0,['W'],['W'],None,['Instant'],None,Uncommon,MMQ,None,None,None,Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,MMQ,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,MMQ,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,MMQ,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,MMQ,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,MMQ,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,MMQ,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,MMQ,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,MMQ,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,MMQ,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,MMQ,None,None,None,({T}: Add {U}.)
High Seas,3.0,['U'],['U'],None,['Enchantment'],None,Uncommon,MMQ,None,None,None,Red creature spells and green creature spells cost {1} more to cast.
Glowing Anemone,4.0,['U'],['U'],None,['Creature'],"['Jellyfish', 'Beast']",Uncommon,MMQ,1,3,None,"When Glowing Anemone enters the battlefield, you may return target land to its owner's hand."
Extravagant Spirit,4.0,['U'],['U'],None,['Creature'],['Spirit'],Rare,MMQ,4,4,None,"Flying\nAt the beginning of your upkeep, sacrifice Extravagant Spirit unless you pay {1} for each card in your hand."
Embargo,4.0,['U'],['U'],None,['Enchantment'],None,Rare,MMQ,None,None,None,"Nonland permanents don't untap during their controllers' untap steps.\nAt the beginning of your upkeep, you lose 2 life."
Diplomatic Immunity,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,MMQ,None,None,None,Enchant creature\nShroud (A permanent with shroud can't be the target of spells or abilities.)\nEnchanted creature has shroud.
Dehydration,4.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,MMQ,None,None,None,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature doesn't untap during its controller's untap step.
Customs Depot,2.0,['U'],['U'],None,['Enchantment'],None,Uncommon,MMQ,None,None,None,"Whenever you cast a creature spell, you may pay {1}. If you do, draw a card, then discard a card."
Counterspell,2.0,['U'],['U'],None,['Instant'],None,Common,MMQ,None,None,None,Counter target spell.
Cloud Sprite,1.0,['U'],['U'],None,['Creature'],['Faerie'],Common,MMQ,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nCloud Sprite can block only creatures with flying.
Chameleon Spirit,4.0,['U'],['U'],None,['Creature'],"['Illusion', 'Spirit']",Uncommon,MMQ,*,*,None,"As Chameleon Spirit enters the battlefield, choose a color.\nChameleon Spirit's power and toughness are each equal to the number of permanents of the chosen color your opponents control."
Buoyancy,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,MMQ,None,None,None,Flash\nEnchant creature\nEnchanted creature has flying.
Brainstorm,1.0,['U'],['U'],None,['Instant'],None,Common,MMQ,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Balloon Peddler,3.0,['U'],['U'],None,['Creature'],"['Human', 'Spellshaper']",Common,MMQ,2,2,None,"{U}, {T}, Discard a card: Target creature gains flying until end of turn."
