Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Blood Spatter Analysis,2.0,"['B', 'R']","['B', 'R']",None,['Enchantment'],None,Rare,PMKM,None,None,None,"When Blood Spatter Analysis enters the battlefield, it deals 3 damage to target creature an opponent controls.\nWhenever one or more creatures die, mill a card and put a bloodstain counter on Blood Spatter Analysis. Then sacrifice it if it has five or more bloodstain counters on it. When you do, return target creature card from your graveyard to your hand."
Sharp-Eyed Rookie,2.0,['G'],['G'],None,['Creature'],"['Human', 'Detective']",Rare,PMKM,2,2,None,"Vigilance\nWhenever a creature enters the battlefield under your control, if its power is greater than Sharp-Eyed Rookie's power or its toughness is greater than Sharp-Eyed Rookie's toughness, put a +1/+1 counter on Sharp-Eyed Rookie and investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Barbed Servitor,4.0,['B'],['B'],None,"['Artifact', 'Creature']",['Construct'],Rare,PMKM,1,1,None,"Indestructible\nWhen Barbed Servitor enters the battlefield, suspect it. (It has menace and can't block.)\nWhenever Barbed Servitor deals combat damage to a player, you draw a card and you lose 1 life.\nWhenever Barbed Servitor is dealt damage, target opponent loses that much life."
Axebane Ferox,4.0,['G'],['G'],None,['Creature'],['Beast'],Rare,PMKM,4,4,None,"Deathtouch, haste\nWard—Collect evidence 4. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player exiles cards with total mana value 4 or greater from their graveyard.)"
Underground Mortuary,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Rare,PMKM,None,None,None,"({T}: Add {B} or {G}.)\nUnderground Mortuary enters the battlefield tapped.\nWhen Underground Mortuary enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Audience with Trostani,3.0,['G'],['G'],None,['Sorcery'],None,Rare,PMKM,None,None,None,"Create a 0/1 green Plant creature token, then draw cards equal to the number of differently named creature tokens you control."
Undercity Sewers,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,PMKM,None,None,None,"({T}: Add {U} or {B}.)\nUndercity Sewers enters the battlefield tapped.\nWhen Undercity Sewers enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Thundering Falls,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Rare,PMKM,None,None,None,"({T}: Add {U} or {R}.)\nThundering Falls enters the battlefield tapped.\nWhen Thundering Falls enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Shadowy Backstreet,0.0,None,"['B', 'W']",None,['Land'],"['Plains', 'Swamp']",Rare,PMKM,None,None,None,"({T}: Add {W} or {B}.)\nShadowy Backstreet enters the battlefield tapped.\nWhen Shadowy Backstreet enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Raucous Theater,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Rare,PMKM,None,None,None,"({T}: Add {B} or {R}.)\nRaucous Theater enters the battlefield tapped.\nWhen Raucous Theater enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Meticulous Archive,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,PMKM,None,None,None,"({T}: Add {W} or {U}.)\nMeticulous Archive enters the battlefield tapped.\nWhen Meticulous Archive enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Lush Portico,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,PMKM,None,None,None,"({T}: Add {G} or {W}.)\nLush Portico enters the battlefield tapped.\nWhen Lush Portico enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Hedge Maze,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Rare,PMKM,None,None,None,"({T}: Add {G} or {U}.)\nHedge Maze enters the battlefield tapped.\nWhen Hedge Maze enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Elegant Parlor,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Rare,PMKM,None,None,None,"({T}: Add {R} or {W}.)\nElegant Parlor enters the battlefield tapped.\nWhen Elegant Parlor enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Commercial District,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,PMKM,None,None,None,"({T}: Add {R} or {G}.)\nCommercial District enters the battlefield tapped.\nWhen Commercial District enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Cryptex,2.0,None,None,None,['Artifact'],None,Rare,PMKM,None,None,None,"{T}, Collect evidence 3: Add one mana of any color. Put an unlock counter on Cryptex. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)\nSacrifice Cryptex: Surveil 3, then draw three cards. Activate only if Cryptex has five or more unlock counters on it."
"Yarus, Roar of the Old Gods",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Centaur', 'Druid']",Rare,PMKM,4,4,None,"Other creatures you control have haste.\nWhenever one or more face-down creatures you control deal combat damage to a player, draw a card.\nWhenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up."
Worldsoul's Rage,2.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,PMKM,None,None,None,Worldsoul's Rage deals X damage to any target. Put up to X land cards from your hand and/or graveyard onto the battlefield tapped.
Warleader's Call,3.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],None,Rare,PMKM,None,None,None,"Creatures you control get +1/+1.\nWhenever a creature enters the battlefield under your control, Warleader's Call deals 1 damage to each opponent."
"Vannifar, Evolved Enigma",4.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Ooze', 'Wizard']",Mythic,PMKM,3,4,None,"At the beginning of combat on your turn, choose one —\n• Cloak a card from your hand. (Put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)\n• Put a +1/+1 counter on each colorless creature you control."
Urgent Necropsy,4.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Mythic,PMKM,None,None,None,"As an additional cost to cast this spell, collect evidence X, where X is the total mana value of the permanents this spell targets.\nDestroy up to one target artifact, up to one target creature, up to one target enchantment, and up to one target planeswalker."
Officious Interrogation,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Rare,PMKM,None,None,None,"This spell costs {W}{U} more to cast for each target beyond the first.\nChoose any number of target players. Investigate X times, where X is the total number of creatures those players control."
"Trostani, Three Whispers",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Dryad'],Mythic,PMKM,4,4,None,{1}{G}: Target creature gains deathtouch until end of turn.\n{G/W}: Target creature gains vigilance until end of turn.\n{2}{W}: Target creature gains double strike until end of turn.
Treacherous Greed,3.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Rare,PMKM,None,None,None,"As an additional cost to cast this spell, sacrifice a creature that dealt damage this turn.\nDraw three cards. Each opponent loses 3 life and you gain 3 life."
"Tolsimir, Midnight's Light",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Elf', 'Scout']",Rare,PMKM,3,2,None,"Lifelink\nWhen Tolsimir, Midnight's Light enters the battlefield, create Voja Fenstalker, a legendary 5/5 green and white Wolf creature token with trample.\nWhenever a Wolf you control attacks, if Tolsimir attacked this combat, target creature an opponent controls blocks that Wolf this combat if able."
"Teysa, Opulent Oligarch",3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,PMKM,2,3,None,"Deathtouch\nAt the beginning of your end step, investigate for each opponent who lost life this turn.\nWhenever a Clue you control is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying. This ability triggers only once each turn."
"Rakdos, Patron of Chaos",6.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],['Demon'],Mythic,PMKM,6,6,None,"Flying, trample\nAt the beginning of your end step, target opponent may sacrifice two nonland, nontoken permanents. If they don't, you draw two cards."
Relive the Past,7.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Rare,PMKM,None,None,None,"Return up to one target artifact card, up to one target land card, and up to one target non-Aura enchantment card from your graveyard to the battlefield. They are 5/5 Elemental creatures in addition to their other types."
"Niv-Mizzet, Guildpact",5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Dragon', 'Avatar']",Rare,PMKM,6,6,None,"Flying, hexproof from multicolored\nWhenever Niv-Mizzet, Guildpact deals combat damage to a player, it deals X damage to any target, target player draws X cards, and you gain X life, where X is the number of different color pairs among permanents you control that are exactly two colors."
Steamcore Scholar,3.0,['U'],['U'],None,['Creature'],"['Weird', 'Detective']",Rare,PMKM,2,2,None,"Flying, vigilance\nWhen Steamcore Scholar enters the battlefield, draw two cards. Then discard two cards unless you discard an instant or sorcery card or a creature card with flying."
Kylox's Voltstrider,3.0,"['R', 'U']","['R', 'U']",None,['Artifact'],['Vehicle'],Mythic,PMKM,4,4,None,"Collect evidence 6: Kylox's Voltstrider becomes an artifact creature until end of turn.\nWhenever Kylox's Voltstrider attacks, you may cast an instant or sorcery spell from among cards exiled with it. If that spell would be put into a graveyard, put it on the bottom of its owner's library instead.\nCrew 2"
"Kylox, Visionary Inventor",7.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Viashino', 'Artificer']",Rare,PMKM,4,4,None,"Menace, ward {2}, haste\nWhenever Kylox, Visionary Inventor attacks, sacrifice any number of other creatures, then exile the top X cards of your library, where X is their total power. You may cast any number of instant and/or sorcery spells from among the exiled cards without paying their mana costs."
Outrageous Robbery,2.0,['B'],['B'],None,['Instant'],None,Rare,PMKM,None,None,None,"Target opponent exiles the top X cards of their library face down. You may look at and play those cards for as long as they remain exiled. If you cast a spell this way, you may spend mana as though it were mana of any type to cast it."
"Lazav, Wearer of Faces",2.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Shapeshifter', 'Detective']",Rare,PMKM,2,3,None,"Whenever Lazav, Wearer of Faces attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\nWhenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn."
Krenko's Buzzcrusher,4.0,['R'],['R'],None,"['Artifact', 'Creature']","['Insect', 'Thopter']",Rare,PMKM,4,4,None,"Flying, trample\nWhen Krenko's Buzzcrusher enters the battlefield, for each player, destroy up to one nonbasic land that player controls. For each land destroyed this way, its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle."
