Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Light Up the Night,1.0,['R'],['R'],None,['Sorcery'],None,Rare,PMID,None,None,None,"Light Up the Night deals X damage to any target. It deals X plus 1 damage instead if that target is a creature or planeswalker.\nFlashback—{3}{R}, Remove X loyalty counters from among planeswalkers you control. If you cast this spell this way, X can't be 0. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Shipwreck Marsh,0.0,None,"['B', 'U']",None,['Land'],None,Rare,PMID,None,None,None,Shipwreck Marsh enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {U} or {B}.
Geistflame Reservoir,3.0,['R'],['R'],None,['Artifact'],None,Rare,PMID,None,None,None,"Whenever you cast an instant or sorcery spell, put a charge counter on Geistflame Reservoir.\n{1}{R}, {T}, Remove any number of charge counters from Geistflame Reservoir: It deals that much damage to any target.\n{1}{R}, {T}: Exile the top card of your library. You may play that card this turn."
Rockfall Vale,0.0,None,"['G', 'R']",None,['Land'],None,Rare,PMID,None,None,None,Rockfall Vale enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {R} or {G}.
Overgrown Farmland,0.0,None,"['G', 'W']",None,['Land'],None,Rare,PMID,None,None,None,Overgrown Farmland enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {G} or {W}.
Falkenrath Pit Fighter,1.0,['R'],['R'],None,['Creature'],"['Vampire', 'Warrior']",Rare,PMID,2,1,None,"{1}{R}, Discard a card, Sacrifice a Vampire: Draw two cards. Activate only if an opponent lost life this turn."
Haunted Ridge,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PMID,None,None,None,Haunted Ridge enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {B} or {R}.
Moonveil Regent,4.0,['R'],['R'],None,['Creature'],['Dragon'],Mythic,PMID,4,4,None,"Flying\nWhenever you cast a spell, you may discard your hand. If you do, draw a card for each of that spell's colors.\nWhen Moonveil Regent dies, it deals X damage to any target, where X is the number of colors among permanents you control."
Reckless Stormseeker // Storm-Charged Slasher,3.0,['R'],['R'],None,['Creature'],"['Human', 'Werewolf']",Rare,PMID,2,3,None,"At the beginning of combat on your turn, target creature you control gets +1/+0 and gains haste until end of turn.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Galvanic Iteration,2.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Rare,PMID,None,None,None,"When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.\nFlashback {1}{U}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
