Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Wheel of Fortune,3.0,['R'],['R'],None,['Sorcery'],None,Rare,FBB,None,None,None,"Each player discards their hand, then draws seven cards."
Wall of Fire,3.0,['R'],['R'],None,['Creature'],['Wall'],Uncommon,FBB,0,5,None,Defender (This creature can't attack.)\n{R}: Wall of Fire gets +1/+0 until end of turn.
Tunnel,1.0,['R'],['R'],None,['Instant'],None,Uncommon,FBB,None,None,None,Destroy target Wall. It can't be regenerated.
Stone Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Uncommon,FBB,3,4,None,{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.
Shivan Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,FBB,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Shatter,2.0,['R'],['R'],None,['Instant'],None,Common,FBB,None,None,None,Destroy target artifact.
Rock Hydra,2.0,['R'],['R'],None,['Creature'],['Hydra'],Rare,FBB,0,0,None,"Rock Hydra enters the battlefield with X +1/+1 counters on it.\nFor each 1 damage that would be dealt to Rock Hydra, if it has a +1/+1 counter on it, remove a +1/+1 counter from it and prevent that 1 damage.\n{R}: Prevent the next 1 damage that would be dealt to Rock Hydra this turn.\n{R}{R}{R}: Put a +1/+1 counter on Rock Hydra. Activate only during your upkeep."
Red Elemental Blast,1.0,['R'],['R'],None,['Instant'],None,Common,FBB,None,None,None,Choose one —\n• Counter target blue spell.\n• Destroy target blue permanent.
Orcish Oriflamme,4.0,['R'],['R'],None,['Enchantment'],None,Uncommon,FBB,None,None,None,Attacking creatures you control get +1/+0.
Mons's Goblin Raiders,1.0,['R'],['R'],None,['Creature'],['Goblin'],Common,FBB,1,1,None,None
Mana Flare,3.0,['R'],['R'],None,['Enchantment'],None,Rare,FBB,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Common,FBB,None,None,None,Lightning Bolt deals 3 damage to any target.
Keldon Warlord,4.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian']",Uncommon,FBB,*,*,None,Keldon Warlord's power and toughness are each equal to the number of non-Wall creatures you control.
Hill Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Common,FBB,3,3,None,None
Granite Gargoyle,3.0,['R'],['R'],None,['Creature'],['Gargoyle'],Rare,FBB,2,2,None,Flying\n{R}: Granite Gargoyle gets +0/+1 until end of turn.
Goblin Balloon Brigade,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Uncommon,FBB,1,1,None,{R}: Goblin Balloon Brigade gains flying until end of turn.
Flashfires,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,FBB,None,None,None,Destroy all Plains.
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Common,FBB,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Earthquake,1.0,['R'],['R'],None,['Sorcery'],None,Rare,FBB,None,None,None,Earthquake deals X damage to each creature without flying and each player.
Earth Elemental,5.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,FBB,4,5,None,None
Dwarven Warriors,3.0,['R'],['R'],None,['Creature'],"['Dwarf', 'Warrior']",Common,FBB,1,1,None,{T}: Target creature with power 2 or less can't be blocked this turn.
Disintegrate,1.0,['R'],['R'],None,['Sorcery'],None,Common,FBB,None,None,None,"Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead."
Burrowing,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,FBB,None,None,None,Enchant creature\nEnchanted creature has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.)
Zombie Master,3.0,['B'],['B'],None,['Creature'],['Zombie'],Rare,FBB,2,3,None,"Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)\nOther Zombies have ""{B}: Regenerate this permanent."""
Weakness,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,FBB,None,None,None,Enchant creature\nEnchanted creature gets -2/-1.
Wall of Bone,3.0,['B'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,FBB,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Terror,2.0,['B'],['B'],None,['Instant'],None,Common,FBB,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Sorceress Queen,3.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,FBB,1,1,None,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.
Sengir Vampire,5.0,['B'],['B'],None,['Creature'],['Vampire'],Uncommon,FBB,4,4,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,FBB,None,None,None,({T}: Add {R}.)
Scathe Zombies,3.0,['B'],['B'],None,['Creature'],['Zombie'],Common,FBB,2,2,None,None
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,FBB,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,FBB,None,None,None,({T}: Add {R}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,FBB,None,None,None,({T}: Add {G}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,FBB,None,None,None,({T}: Add {B}.)
Sacrifice,1.0,['B'],['B'],None,['Instant'],None,Uncommon,FBB,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nAdd an amount of {B} equal to the sacrificed creature's mana value."
Royal Assassin,3.0,['B'],['B'],None,['Creature'],"['Human', 'Assassin']",Rare,FBB,1,1,None,{T}: Destroy target tapped creature.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,FBB,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,FBB,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,FBB,None,None,None,({T}: Add {W}.)
Volcanic Island,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Rare,FBB,None,None,None,({T}: Add {U} or {R}.)
Tundra,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,FBB,None,None,None,({T}: Add {W} or {U}.)
Taiga,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,FBB,None,None,None,({T}: Add {R} or {G}.)
Savannah,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,FBB,None,None,None,({T}: Add {G} or {W}.)
Bayou,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Rare,FBB,None,None,None,({T}: Add {B} or {G}.)
Wooden Sphere,1.0,None,None,None,['Artifact'],None,Uncommon,FBB,None,None,None,"Whenever a player casts a green spell, you may pay {1}. If you do, you gain 1 life."
Throne of Bone,1.0,None,None,None,['Artifact'],None,Uncommon,FBB,None,None,None,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life."
The Hive,5.0,None,None,None,['Artifact'],None,Rare,FBB,None,None,None,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)"
Soul Net,1.0,None,None,None,['Artifact'],None,Uncommon,FBB,None,None,None,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life."
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,FBB,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Pestilence,4.0,['B'],['B'],None,['Enchantment'],None,Common,FBB,None,None,None,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.\n{B}: Pestilence deals 1 damage to each creature and each player."
Ornithopter,0.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Uncommon,FBB,0,2,None,Flying
Obsianus Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,FBB,4,6,None,None
