Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dire Fleet Ravager,5.0,['B'],['B'],None,['Creature'],"['Orc', 'Pirate', 'Wizard']",Mythic,CLB,4,4,None,"Menace, deathtouch\nWhen Dire Fleet Ravager enters the battlefield, each player loses a third of their life, rounded up."
Dauthi Horror,2.0,['B'],['B'],None,['Creature'],"['Dauthi', 'Horror']",Common,CLB,2,1,None,Shadow (This creature can block or be blocked by only creatures with shadow.)\nDauthi Horror can't be blocked by white creatures.
Ezuri's Predation,8.0,['G'],['G'],None,['Sorcery'],None,Rare,CLB,None,None,None,"For each creature your opponents control, create a 4/4 green Phyrexian Beast creature token. Each of those tokens fights a different one of those creatures."
Embereth Shieldbreaker // Battle Display,2.0,['R'],['R'],None,['Creature'],"['Human', 'Knight']",Uncommon,CLB,2,1,None,None
Dark Hatchling,6.0,['B'],['B'],None,['Creature'],['Horror'],Rare,CLB,3,3,None,"Flying\nWhen Dark Hatchling enters the battlefield, destroy target nonblack creature. It can't be regenerated."
Nalfeshnee,6.0,['R'],['R'],None,['Creature'],"['Beast', 'Demon']",Rare,CLB,4,6,None,"Flying\nWhenever you cast a spell from exile, copy it. You may choose new targets for the copy. If it's a permanent spell, the copy gains haste and ""At the beginning of the end step, sacrifice this permanent."" (A copy of a permanent spell becomes a token.)"
Loot Dispute,4.0,['R'],['R'],None,['Enchantment'],None,Rare,CLB,None,None,None,"When Loot Dispute enters the battlefield, you take the initiative and create a Treasure token.\nWhenever you attack the player who has the initiative, create a Treasure token.\nLoud Ruckus — Whenever you complete a dungeon, create a 5/5 red Dragon creature token with flying."
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Common,CLB,None,None,None,Lightning Bolt deals 3 damage to any target.
Delayed Blast Fireball,3.0,['R'],['R'],None,['Instant'],None,Rare,CLB,None,None,None,"Delayed Blast Fireball deals 2 damage to each opponent and each creature they control. If this spell was cast from exile, it deals 5 damage to each opponent and each creature they control instead.\nForetell {4}{R}{R} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Javelin of Lightning,2.0,['R'],['R'],None,['Artifact'],['Equipment'],Common,CLB,None,None,None,"Flash\nWhen Javelin of Lightning enters the battlefield, attach it to target creature you control.\nAs long as it's your turn, equipped creature gets +2/+0 and has first strike.\nEquip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)"
Curtains' Call,6.0,['B'],['B'],None,['Instant'],None,Rare,CLB,None,None,None,Undaunted (This spell costs {1} less to cast for each opponent.)\nDestroy two target creatures.
Minimus Containment,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,CLB,None,None,None,"Enchant nonland permanent\nEnchanted permanent is a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color,"" and it loses all other abilities. (If it was a creature, it's no longer a creature.)"
Crippling Fear,4.0,['B'],['B'],None,['Sorcery'],None,Rare,CLB,None,None,None,Choose a creature type. Creatures that aren't of the chosen type get -3/-3 until end of turn.
Martial Impetus,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,CLB,None,None,None,"Enchant creature\nEnchanted creature gets +1/+1 and is goaded. (It attacks each combat if able and attacks a player other than you if able.)\nWhenever enchanted creature attacks, each other creature that's attacking one of your opponents gets +1/+1 until end of turn."
Explore,2.0,['G'],['G'],None,['Sorcery'],None,Common,CLB,None,None,None,You may play an additional land this turn.\nDraw a card.
Guild Artisan,2.0,['R'],['R'],['Legendary'],['Enchantment'],['Background'],Uncommon,CLB,None,None,None,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, you create two Treasure tokens."" (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Kodama's Reach,3.0,['G'],['G'],None,['Sorcery'],['Arcane'],Common,CLB,None,None,None,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
Genasi Enforcers,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Common,CLB,1,3,None,"Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)\n{1}{R}: Creatures you control named Genasi Enforcers get +1/+0 until end of turn."
Corpse Augur,4.0,['B'],['B'],None,['Creature'],"['Zombie', 'Wizard']",Uncommon,CLB,4,2,None,"When Corpse Augur dies, you draw X cards and you lose X life, where X is the number of creature cards in target player's graveyard."
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,CLB,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Changeling Outcast,1.0,['B'],['B'],None,['Creature'],['Shapeshifter'],Common,CLB,1,1,None,Changeling (This card is every creature type.)\nChangeling Outcast can't block and can't be blocked.
Death Kiss,6.0,['R'],['R'],None,['Creature'],['Beholder'],Rare,CLB,5,5,None,"Whenever a creature an opponent controls attacks one of your opponents, double its power until end of turn.\n{X}{X}{R}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)\nWhen Death Kiss becomes monstrous, goad up to X target creatures your opponents control."
Elturel Survivors,4.0,['R'],['R'],None,['Creature'],"['Tiefling', 'Peasant']",Rare,CLB,0,4,None,"Trample, myriad\nAs long as Elturel Survivors is attacking, it gets +X/+0, where X is the number of lands defending player controls."
