Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Storm Entity,2.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,FUT,1,1,None,Haste\nStorm Entity enters the battlefield with a +1/+1 counter on it for each other spell cast this turn.
Steamflogger Boss,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rigger']",Rare,FUT,3,3,None,"Other Riggers you control get +1/+0 and have haste.\nIf a Rigger you control would assemble a Contraption, it assembles two Contraptions instead."
Skizzik Surger,6.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,FUT,6,4,None,"Haste\nEcho—Sacrifice two lands. (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)"
Shah of Naar Isle,4.0,['R'],['R'],None,['Creature'],['Efreet'],Rare,FUT,6,6,None,"Trample\nEcho {0} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Shah of Naar Isle's echo cost is paid, each opponent may draw up to three cards."
Homing Sliver,3.0,['R'],['R'],None,['Creature'],['Sliver'],Common,FUT,2,2,None,"Each Sliver card in each player's hand has slivercycling {3}.\nSlivercycling {3} ({3}, Discard this card: Search your library for a Sliver card, reveal it, put it into your hand, then shuffle.)"
Henchfiend of Ukor,4.0,['R'],"['B', 'R']",None,['Creature'],['Ogre'],Common,FUT,3,2,None,"Haste\nEcho {1}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{B/R}: Henchfiend of Ukor gets +1/+0 until end of turn."
Molten Disaster,2.0,['R'],['R'],None,['Sorcery'],None,Rare,FUT,None,None,None,"Kicker {R} (You may pay an additional {R} as you cast this spell.)\nIf this spell was kicked, it has split second. (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nMolten Disaster deals X damage to each creature without flying and each player."
Flowstone Embrace,2.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,FUT,None,None,None,Enchant creature\n{T}: Enchanted creature gets +2/-2 until end of turn.
Ghostfire,3.0,None,['R'],None,['Instant'],None,Common,FUT,None,None,None,Ghostfire is colorless.\nGhostfire deals 3 damage to any target.
Grinning Ignus,3.0,['R'],['R'],None,['Creature'],['Elemental'],Common,FUT,2,2,None,"{R}, Return Grinning Ignus to its owner's hand: Add {C}{C}{R}. Activate only as a sorcery."
