Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,XANA,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,XANA,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,XANA,None,None,None,({T}: Add {B}.)
Take Vengeance,2.0,['W'],['W'],None,['Sorcery'],None,Common,XANA,None,None,None,Destroy target tapped creature.
Volcanic Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,XANA,4,4,None,"Flying, haste"
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,XANA,None,None,None,({T}: Add {W}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,XANA,None,None,None,({T}: Add {U}.)
Rumbling Baloth,4.0,['G'],['G'],None,['Creature'],['Beast'],Common,XANA,4,4,None,None
Goblin Gang Leader,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Uncommon,XANA,2,2,None,"When Goblin Gang Leader enters the battlefield, create two 1/1 red Goblin creature tokens."
Doublecast,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,XANA,None,None,None,"When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
Soulhunter Rakshasa,5.0,['B'],['B'],None,['Creature'],['Demon'],Rare,XANA,5,5,None,"Soulhunter Rakshasa can't block.\nWhen Soulhunter Rakshasa enters the battlefield, if you cast it from your hand, it deals 1 damage to target opponent for each Swamp you control."
Rise from the Grave,5.0,['B'],['B'],None,['Sorcery'],None,Uncommon,XANA,None,None,None,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.
Nimble Pilferer,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Common,XANA,2,1,None,Flash
Miasmic Mummy,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Jackal']",Common,XANA,2,2,None,"When Miasmic Mummy enters the battlefield, each player discards a card."
Divination,3.0,['U'],['U'],None,['Sorcery'],None,Common,XANA,None,None,None,Draw two cards.
Cruel Cut,2.0,['B'],['B'],None,['Instant'],None,Common,XANA,None,None,None,Destroy target creature with power 2 or less.
Loxodon Line Breaker,3.0,['W'],['W'],None,['Creature'],"['Elephant', 'Soldier']",Common,XANA,3,2,None,None
Ambition's Cost,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,XANA,None,None,None,You draw three cards and you lose 3 life.
Waterknot,3.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,XANA,None,None,None,"Enchant creature\nWhen Waterknot enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
Overflowing Insight,7.0,['U'],['U'],None,['Sorcery'],None,Mythic,XANA,None,None,None,Target player draws seven cards.
