Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GS1,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,GS1,None,None,None,({T}: Add {R}.)
Timber Gorge,0.0,None,"['G', 'R']",None,['Land'],None,Common,GS1,None,None,None,Timber Gorge enters the battlefield tapped.\n{T}: Add {R} or {G}.
Cleansing Screech,5.0,['R'],['R'],None,['Sorcery'],None,Common,GS1,None,None,None,Cleansing Screech deals 4 damage to any target.
Journey for the Elixir,3.0,['G'],['G'],None,['Sorcery'],None,Rare,GS1,None,None,None,"Search your library and graveyard for a basic land card and a card named Jiang Yanggu, reveal them, put them into your hand, then shuffle."
Confidence from Strength,3.0,['G'],['G'],None,['Sorcery'],None,Common,GS1,None,None,None,Target creature gets +4/+4 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Aggressive Instinct,2.0,['G'],['G'],None,['Sorcery'],None,Common,GS1,None,None,None,Target creature you control deals damage equal to its power to target creature you don't control.
Breath of Fire,2.0,['R'],['R'],None,['Instant'],None,Common,GS1,None,None,None,Breath of Fire deals 2 damage to target creature.
Hardened-Scale Armor,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,GS1,None,None,None,Enchant creature\nEnchanted creature gets +3/+3.
Earthshaking Si,6.0,['G'],['G'],None,['Creature'],['Beast'],Common,GS1,5,5,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Screeching Phoenix,6.0,['R'],['R'],None,['Creature'],['Phoenix'],Rare,GS1,4,4,None,Flying\n{2}{R}: Creatures you control get +1/+0 until end of turn.
Fire-Omen Crane,5.0,['R'],['R'],None,['Creature'],"['Bird', 'Spirit']",Uncommon,GS1,3,3,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Fire-Omen Crane attacks, it deals 1 damage to target creature an opponent controls."
Ferocious Zheng,4.0,['G'],['G'],None,['Creature'],"['Cat', 'Beast']",Common,GS1,4,4,None,None
Giant Spider,4.0,['G'],['G'],None,['Creature'],['Spider'],Common,GS1,2,4,None,Reach (This creature can block creatures with flying.)
Reckless Pangolin,3.0,['G'],['G'],None,['Creature'],['Pangolin'],Common,GS1,2,2,None,"Whenever Reckless Pangolin attacks, it gets +1/+1 until end of turn."
Sacred White Deer,2.0,['G'],['G'],None,['Creature'],['Elk'],Uncommon,GS1,2,2,None,"{3}{G}, {T}: You gain 4 life. Activate only if you control a Yanggu planeswalker."
Feiyi Snake,2.0,['G'],['G'],None,['Creature'],['Snake'],Common,GS1,2,1,None,Reach (This creature can block creatures with flying.)
Leopard-Spotted Jiao,2.0,['R'],['R'],None,['Creature'],['Beast'],Common,GS1,3,1,None,None
Jiang Yanggu,5.0,['G'],['G'],['Legendary'],['Planeswalker'],['Yanggu'],Mythic,GS1,None,None,4,"[+1]: Target creature gets +2/+2 until end of turn.\n[−1]: If you don't control a creature named Mowu, create Mowu, a legendary 3/3 green Dog creature token.\n[−5]: Until end of turn, target creature gains trample and gets +X/+X, where X is the number of lands you control."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,GS1,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,GS1,None,None,None,({T}: Add {W}.)
Meandering River,0.0,None,"['U', 'W']",None,['Land'],None,Common,GS1,None,None,None,Meandering River enters the battlefield tapped.\n{T}: Add {W} or {U}.
