Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Copper Tablet,2.0,None,None,None,['Artifact'],None,Uncommon,ME1,None,None,None,"At the beginning of each player's upkeep, Copper Tablet deals 1 damage to that player."
Ashnod's Transmogrant,1.0,None,None,None,['Artifact'],None,Common,ME1,None,None,None,"{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types."
Ankh of Mishra,2.0,None,None,None,['Artifact'],None,Rare,ME1,None,None,None,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller."
Phelddagrif,4.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],['Phelddagrif'],Rare,ME1,4,4,None,{G}: Phelddagrif gains trample until end of turn. Target opponent creates a 1/1 green Hippo creature token.\n{W}: Phelddagrif gains flying until end of turn. Target opponent gains 2 life.\n{U}: Return Phelddagrif to its owner's hand. Target opponent may draw a card.
Lord of Tresserhorn,4.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],['Zombie'],Rare,ME1,10,4,None,"When Lord of Tresserhorn enters the battlefield, you lose 2 life, you sacrifice two creatures, and target opponent draws two cards.\n{B}: Regenerate Lord of Tresserhorn."
Lim-Dûl's Vault,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Uncommon,ME1,None,None,None,"Look at the top five cards of your library. As many times as you choose, you may pay 1 life, put those cards on the bottom of your library in any order, then look at the top five cards of your library. Then shuffle and put the last cards you looked at this way on top in any order."
Jacques le Vert,4.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,ME1,3,2,None,Green creatures you control get +0/+2.
Hymn of Rebirth,5.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Uncommon,ME1,None,None,None,Put target creature card from a graveyard onto the battlefield under your control.
Fire Covenant,3.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Uncommon,ME1,None,None,None,"As an additional cost to cast this spell, pay X life.\nFire Covenant deals X damage divided as you choose among any number of target creatures."
Energy Arc,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Uncommon,ME1,None,None,None,Untap any number of target creatures. Prevent all combat damage that would be dealt to and dealt by those creatures this turn.
Dakkon Blackblade,6.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,ME1,*,*,None,Dakkon Blackblade's power and toughness are each equal to the number of lands you control.
Centaur Archer,3.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Centaur', 'Archer']",Uncommon,ME1,3,2,None,{T}: Centaur Archer deals 1 damage to target creature with flying.
Adun Oakenshield,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Human', 'Knight']",Rare,ME1,1,2,None,"{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand."
Yavimaya Ants,4.0,['G'],['G'],None,['Creature'],['Insect'],Uncommon,ME1,5,1,None,"Trample, haste\nCumulative upkeep {G}{G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)"
Wyluli Wolf,2.0,['G'],['G'],None,['Creature'],['Wolf'],Common,ME1,1,1,None,{T}: Target creature gets +1/+1 until end of turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ME1,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ME1,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ME1,None,None,None,({T}: Add {G}.)
Winter Blast,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ME1,None,None,None,Tap X target creatures. Winter Blast deals 2 damage to each of those creatures with flying.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ME1,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ME1,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ME1,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ME1,None,None,None,({T}: Add {B}.)
Wanderlust,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,ME1,None,None,None,"Enchant creature\nAt the beginning of the upkeep of enchanted creature's controller, Wanderlust deals 1 damage to that player."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ME1,None,None,None,({T}: Add {B}.)
Tornado,5.0,['G'],['G'],None,['Enchantment'],None,Rare,ME1,None,None,None,"Cumulative upkeep {G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\n{2}{G}, Pay 3 life for each velocity counter on Tornado: Destroy target permanent and put a velocity counter on Tornado. Activate only once each turn."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ME1,None,None,None,({T}: Add {B}.)
Thorn Thallid,3.0,['G'],['G'],None,['Creature'],['Fungus'],Common,ME1,2,2,None,"At the beginning of your upkeep, put a spore counter on Thorn Thallid.\nRemove three spore counters from Thorn Thallid: It deals 1 damage to any target."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ME1,None,None,None,({T}: Add {U}.)
Thicket Basilisk,5.0,['G'],['G'],None,['Creature'],['Basilisk'],Uncommon,ME1,2,4,None,"Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ME1,None,None,None,({T}: Add {U}.)
Sylvan Library,2.0,['G'],['G'],None,['Enchantment'],None,Rare,ME1,None,None,None,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ME1,None,None,None,({T}: Add {U}.)
Storm Seeker,4.0,['G'],['G'],None,['Instant'],None,Uncommon,ME1,None,None,None,Storm Seeker deals damage to target player equal to the number of cards in that player's hand.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,ME1,None,None,None,({T}: Add {W}.)
Spectral Bears,2.0,['G'],['G'],None,['Creature'],"['Bear', 'Spirit']",Uncommon,ME1,3,3,None,"Whenever Spectral Bears attacks, if defending player controls no black nontoken permanents, it doesn't untap during your next untap step."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,ME1,None,None,None,({T}: Add {W}.)
Singing Tree,4.0,['G'],['G'],None,['Creature'],['Plant'],Uncommon,ME1,0,3,None,{T}: Target attacking creature has base power 0 until end of turn.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,ME1,None,None,None,({T}: Add {W}.)
Shambling Strider,6.0,['G'],"['G', 'R']",None,['Creature'],['Yeti'],Common,ME1,5,5,None,{R}{G}: Shambling Strider gets +1/-1 until end of turn.
Thawing Glaciers,0.0,None,None,None,['Land'],None,Rare,ME1,None,None,None,"Thawing Glaciers enters the battlefield tapped.\n{1}, {T}: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. Return Thawing Glaciers to its owner's hand at the beginning of the next cleanup step."
Scryb Sprites,1.0,['G'],['G'],None,['Creature'],['Faerie'],Common,ME1,1,1,None,Flying
Rainbow Vale,0.0,None,None,None,['Land'],None,Rare,ME1,None,None,None,{T}: Add one mana of any color. An opponent gains control of Rainbow Vale at the beginning of the next end step.
Roots,4.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,ME1,None,None,None,"Enchant creature without flying\nWhen Roots enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,ME1,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Rabid Wombat,4.0,['G'],['G'],None,['Creature'],['Wombat'],Uncommon,ME1,0,1,None,Vigilance\nRabid Wombat gets +2/+2 for each Aura attached to it.
Lake of the Dead,0.0,None,['B'],None,['Land'],None,Rare,ME1,None,None,None,"If Lake of the Dead would enter the battlefield, sacrifice a Swamp instead. If you do, put Lake of the Dead onto the battlefield. If you don't, put it into its owner's graveyard.\n{T}: Add {B}.\n{T}, Sacrifice a Swamp: Add {B}{B}{B}{B}."
Primal Order,4.0,['G'],['G'],None,['Enchantment'],None,Rare,ME1,None,None,None,"At the beginning of each player's upkeep, Primal Order deals damage to that player equal to the number of nonbasic lands they control."
Island of Wak-Wak,0.0,None,None,None,['Land'],None,Rare,ME1,None,None,None,{T}: Target creature with flying has base power 0 until end of turn.
Nature's Lore,2.0,['G'],['G'],None,['Sorcery'],None,Common,ME1,None,None,None,"Search your library for a Forest card, put that card onto the battlefield, then shuffle."
Diamond Valley,0.0,None,None,None,['Land'],None,Rare,ME1,None,None,None,"{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness."
Ifh-Bíff Efreet,4.0,['G'],['G'],None,['Creature'],['Efreet'],Rare,ME1,3,3,None,Flying\n{G}: Ifh-Bíff Efreet deals 1 damage to each creature with flying and each player. Any player may activate this ability.
Zuran Orb,0.0,None,None,None,['Artifact'],None,Uncommon,ME1,None,None,None,Sacrifice a land: You gain 2 life.
Ice Storm,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ME1,None,None,None,Destroy target land.
Winter Orb,2.0,None,None,None,['Artifact'],None,Rare,ME1,None,None,None,"As long as Winter Orb is untapped, players can't untap more than one land during their untap steps."
Hungry Mist,4.0,['G'],['G'],None,['Creature'],['Elemental'],Common,ME1,6,2,None,"At the beginning of your upkeep, sacrifice Hungry Mist unless you pay {G}{G}."
Ghazbán Ogre,1.0,['G'],['G'],None,['Creature'],['Ogre'],Common,ME1,2,2,None,"At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Ghazbán Ogre."
Gargantuan Gorilla,7.0,['G'],['G'],None,['Creature'],['Ape'],Rare,ME1,7,7,None,"At the beginning of your upkeep, you may sacrifice a Forest. If you sacrifice a snow Forest this way, Gargantuan Gorilla gains trample until end of turn. If you don't sacrifice a Forest, sacrifice Gargantuan Gorilla and it deals 7 damage to you.\n{T}: Gargantuan Gorilla deals damage equal to its power to another target creature. That creature deals damage equal to its power to Gargantuan Gorilla."
Fyndhorn Elves,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,ME1,1,1,None,{T}: Add {G}.
Eureka,4.0,['G'],['G'],None,['Sorcery'],None,Rare,ME1,None,None,None,"Starting with you, each player may put a permanent card from their hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield."
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Common,ME1,None,None,None,Lightning Bolt deals 3 damage to any target.
Autumn Willow,6.0,['G'],['G'],['Legendary'],['Creature'],['Avatar'],Rare,ME1,4,4,None,"Shroud (This creature can't be the target of spells or abilities.)\n{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud."
Carnivorous Plant,4.0,['G'],['G'],None,['Creature'],"['Plant', 'Wall']",Uncommon,ME1,4,5,None,Defender
Chub Toad,3.0,['G'],['G'],None,['Creature'],['Frog'],Common,ME1,1,1,None,"Whenever Chub Toad blocks or becomes blocked, it gets +2/+2 until end of turn."
Berserk,1.0,['G'],['G'],None,['Instant'],None,Rare,ME1,None,None,None,"Cast this spell only before the combat damage step.\nTarget creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn."
Ydwen Efreet,3.0,['R'],['R'],None,['Creature'],['Efreet'],Rare,ME1,3,6,None,"Whenever Ydwen Efreet blocks, flip a coin. If you lose the flip, remove Ydwen Efreet from combat and it can't block this turn. Creatures it was blocking that had become blocked by only Ydwen Efreet this combat become unblocked."
Winds of Change,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,ME1,None,None,None,"Each player shuffles the cards from their hand into their library, then draws that many cards."
Varchild's War-Riders,2.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Rare,ME1,3,4,None,"Cumulative upkeep—Have an opponent create a 1/1 red Survivor creature token. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nTrample; rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)"
Stone Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Uncommon,ME1,3,4,None,{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.
Spinal Villain,3.0,['R'],['R'],None,['Creature'],['Beast'],Uncommon,ME1,1,2,None,{T}: Destroy target blue creature.
Mana Flare,3.0,['R'],['R'],None,['Enchantment'],None,Rare,ME1,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Pyroblast,1.0,['R'],['R'],None,['Instant'],None,Common,ME1,None,None,None,Choose one —\n• Counter target spell if it's blue.\n• Destroy target permanent if it's blue.
Keldon Warlord,4.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian']",Uncommon,ME1,*,*,None,Keldon Warlord's power and toughness are each equal to the number of non-Wall creatures you control.
Orcish Mechanics,3.0,['R'],['R'],None,['Creature'],['Orc'],Uncommon,ME1,1,1,None,"{T}, Sacrifice an artifact: Orcish Mechanics deals 2 damage to any target."
Mountain Yeti,4.0,['R'],['R'],None,['Creature'],['Yeti'],Common,ME1,3,3,None,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)\nProtection from white
Márton Stromgald,4.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Knight']",Rare,ME1,1,1,None,"Whenever Márton Stromgald attacks, other attacking creatures get +1/+1 until end of turn for each attacking creature other than Márton Stromgald.\nWhenever Márton Stromgald blocks, other blocking creatures get +1/+1 until end of turn for each blocking creature other than Márton Stromgald."
Walking Wall,4.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,ME1,0,6,None,Defender\n{3}: Walking Wall gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Activate only once each turn.
Jokulhaups,6.0,['R'],['R'],None,['Sorcery'],None,Rare,ME1,None,None,None,"Destroy all artifacts, creatures, and lands. They can't be regenerated."
Dragon Engine,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,ME1,1,3,None,{2}: Dragon Engine gets +1/+0 until end of turn.
Granite Gargoyle,3.0,['R'],['R'],None,['Creature'],['Gargoyle'],Uncommon,ME1,2,2,None,Flying\n{R}: Granite Gargoyle gets +0/+1 until end of turn.
Goblins of the Flarg,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,ME1,1,1,None,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)\nWhen you control a Dwarf, sacrifice Goblins of the Flarg."
Goblin Wizard,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Wizard']",Rare,ME1,1,1,None,{T}: You may put a Goblin permanent card from your hand onto the battlefield.\n{R}: Target Goblin gains protection from white until end of turn.
Goblin Mutant,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Mutant']",Uncommon,ME1,5,3,None,Trample\nGoblin Mutant can't attack if defending player controls an untapped creature with power 3 or greater.\nGoblin Mutant can't block creatures with power 3 or greater.
Goblin Grenade,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,ME1,None,None,None,"As an additional cost to cast this spell, sacrifice a Goblin.\nGoblin Grenade deals 5 damage to any target."
Goblin Chirurgeon,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Common,ME1,0,2,None,Sacrifice a Goblin: Regenerate target creature.
Fissure,5.0,['R'],['R'],None,['Instant'],None,Common,ME1,None,None,None,Destroy target creature or land. It can't be regenerated.
Dwarven Soldier,2.0,['R'],['R'],None,['Creature'],"['Dwarf', 'Soldier']",Common,ME1,2,1,None,"Whenever Dwarven Soldier blocks or becomes blocked by one or more Orcs, Dwarven Soldier gets +0/+2 until end of turn."
Clockwork Beast,6.0,None,None,None,"['Artifact', 'Creature']",['Beast'],Uncommon,ME1,0,4,None,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.\nAt end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate only during your upkeep."
Dwarven Catapult,1.0,['R'],['R'],None,['Instant'],None,Uncommon,ME1,None,None,None,"Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls."
Crookshank Kobolds,0.0,['R'],['R'],None,['Creature'],['Kobold'],Common,ME1,0,1,None,None
Brothers of Fire,3.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,ME1,2,2,None,{1}{R}{R}: Brothers of Fire deals 1 damage to any target and 1 damage to you.
