Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Zndrsplt, Eye of Wisdom",5.0,['U'],['U'],['Legendary'],['Creature'],['Homunculus'],Rare,PBBD,1,4,None,"Partner with Okaun, Eye of Chaos (When this creature enters the battlefield, target player may put Okaun into their hand from their library, then shuffle.)\nAt the beginning of combat on your turn, flip a coin until you lose a flip.\nWhenever a player wins a coin flip, draw a card."
Chakram Slinger,5.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PBBD,2,4,None,"Partner with Chakram Retriever (When this creature enters the battlefield, target player may put Chakram Retriever into their hand from their library, then shuffle.)\n{R}, {T}: Chakram Slinger deals 2 damage to target player or planeswalker."
Soulblade Renewer,5.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,PBBD,2,2,None,"Partner with Soulblade Corrupter (When this creature enters the battlefield, target player may put Soulblade Corrupter into their hand from their library, then shuffle.)\nWhen Soulblade Renewer enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)"
Rowan Kenrith,6.0,['R'],['R'],['Legendary'],['Planeswalker'],['Rowan'],Mythic,PBBD,None,None,4,"[+2]: During target player's next turn, each creature that player controls attacks if able.\n[−2]: Rowan Kenrith deals 3 damage to each tapped creature target player controls.\n[−8]: Target player gets an emblem with ""Whenever you activate an ability that isn't a mana ability, copy it. You may choose new targets for the copy.""\nPartner with Will Kenrith\nRowan Kenrith can be your commander."
Lore Weaver,4.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,PBBD,2,2,None,"Partner with Ley Weaver (When this creature enters the battlefield, target player may put Ley Weaver into their hand from their library, then shuffle.)\n{5}{U}{U}: Target player draws two cards."
"Regna, the Redeemer",6.0,['W'],['W'],['Legendary'],['Creature'],['Angel'],Rare,PBBD,4,4,None,"Partner with Krav, the Unredeemed (When this creature enters the battlefield, target player may put Krav into their hand from their library, then shuffle.)\nFlying\nAt the beginning of each end step, if your team gained life this turn, create two 1/1 white Warrior creature tokens."
Will Kenrith,6.0,['U'],['U'],['Legendary'],['Planeswalker'],['Will'],Mythic,PBBD,None,None,4,"[+2]: Until your next turn, up to two target creatures each have base power and toughness 0/3 and lose all abilities.\n[−2]: Target player draws two cards. Until your next turn, instant, sorcery, and planeswalker spells that player casts cost {2} less to cast.\n[−8]: Target player gets an emblem with ""Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy.""\nPartner with Rowan Kenrith\nWill Kenrith can be your commander."
Ley Weaver,4.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,PBBD,2,2,None,"Partner with Lore Weaver (When this creature enters the battlefield, target player may put Lore Weaver into their hand from their library, then shuffle.)\n{T}: Untap two target lands."
"Krav, the Unredeemed",5.0,['B'],['B'],['Legendary'],['Creature'],['Demon'],Rare,PBBD,3,3,None,"Partner with Regna, the Redeemer (When this creature enters the battlefield, target player may put Regna into their hand from their library, then shuffle.)\n{B}, Sacrifice X creatures: Target player draws X cards and gains X life. Put X +1/+1 counters on Krav, the Unredeemed."
Proud Mentor,3.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PBBD,1,1,None,"Partner with Impetuous Protege (When this creature enters the battlefield, target player may put Impetuous Protege into their hand from their library, then shuffle.)\n{W}, {T}: Tap target creature."
