Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,XLN,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,XLN,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,XLN,None,None,None,({T}: Add {B}.)
Mark of the Vampire,4.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,XLN,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
Lurking Chupacabra,4.0,['B'],['B'],None,['Creature'],"['Beast', 'Horror']",Uncommon,XLN,2,3,None,"Whenever a creature you control explores, target creature an opponent controls gets -2/-2 until end of turn."
Heartless Pillage,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,XLN,None,None,None,"Target opponent discards two cards.\nRaid — If you attacked this turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Grim Captain's Call,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,XLN,None,None,None,"Return a Pirate card from your graveyard to your hand, then do the same for Vampire, Dinosaur, and Merfolk."
Fathom Fleet Cutthroat,4.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Common,XLN,3,3,None,"When Fathom Fleet Cutthroat enters the battlefield, destroy target creature an opponent controls that was dealt damage this turn."
Fathom Fleet Captain,2.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Rare,XLN,2,1,None,"Menace\nWhenever Fathom Fleet Captain attacks, if you control another nontoken Pirate, you may pay {2}. If you do, create a 2/2 black Pirate creature token with menace."
Duress,1.0,['B'],['B'],None,['Sorcery'],None,Common,XLN,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Deathless Ancient,6.0,['B'],['B'],None,['Creature'],"['Vampire', 'Knight']",Uncommon,XLN,4,4,None,Flying\nTap three untapped Vampires you control: Return Deathless Ancient from your graveyard to your hand.
Dire Fleet Ravager,5.0,['B'],['B'],None,['Creature'],"['Orc', 'Pirate', 'Wizard']",Mythic,XLN,4,4,None,"Menace, deathtouch\nWhen Dire Fleet Ravager enters the battlefield, each player loses a third of their life, rounded up."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,XLN,None,None,None,({T}: Add {U}.)
Deadeye Tormentor,3.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Common,XLN,2,2,None,"Raid — When Deadeye Tormentor enters the battlefield, if you attacked this turn, target opponent discards a card."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,XLN,None,None,None,({T}: Add {U}.)
Dire Fleet Interloper,4.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Common,XLN,2,2,None,"Menace\nWhen Dire Fleet Interloper enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,XLN,None,None,None,({T}: Add {U}.)
Dire Fleet Hoarder,2.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Common,XLN,2,1,None,"When Dire Fleet Hoarder dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,XLN,None,None,None,({T}: Add {U}.)
Desperate Castaways,2.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Common,XLN,2,3,None,Desperate Castaways can't attack unless you control an artifact.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,XLN,None,None,None,({T}: Add {W}.)
Dark Nourishment,5.0,['B'],['B'],None,['Instant'],None,Uncommon,XLN,None,None,None,Dark Nourishment deals 3 damage to any target. You gain 3 life.
Costly Plunder,2.0,['B'],['B'],None,['Instant'],None,Common,XLN,None,None,None,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nDraw two cards."
Contract Killing,5.0,['B'],['B'],None,['Sorcery'],None,Common,XLN,None,None,None,"Destroy target creature. Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,XLN,None,None,None,({T}: Add {W}.)
Boneyard Parley,7.0,['B'],['B'],None,['Sorcery'],None,Mythic,XLN,None,None,None,Exile up to five target creature cards from graveyards. An opponent separates those cards into two piles. Put all cards from the pile of your choice onto the battlefield under your control and the rest into their owners' graveyards.
Bloodcrazed Paladin,2.0,['B'],['B'],None,['Creature'],"['Vampire', 'Knight']",Rare,XLN,1,1,None,Flash\nBloodcrazed Paladin enters the battlefield with a +1/+1 counter on it for each creature that died this turn.
Blight Keeper,1.0,['B'],['B'],None,['Creature'],"['Bat', 'Imp']",Common,XLN,1,1,None,"Flying\n{7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life."
Bishop of the Bloodstained,5.0,['B'],['B'],None,['Creature'],"['Vampire', 'Cleric']",Uncommon,XLN,3,3,None,"When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,XLN,None,None,None,({T}: Add {W}.)
