Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ohran Viper,3.0,['G'],['G'],['Snow'],['Creature'],['Snake'],Rare,CSP,1,3,None,"Whenever Ohran Viper deals combat damage to a creature, destroy that creature at end of combat.\nWhenever Ohran Viper deals combat damage to a player, you may draw a card."
Martyr of Spores,1.0,['G'],['G'],None,['Creature'],"['Human', 'Shaman']",Common,CSP,1,1,None,"{1}, Reveal X green cards from your hand, Sacrifice Martyr of Spores: Target creature gets +X/+X until end of turn."
Into the North,2.0,['G'],['G'],None,['Sorcery'],None,Common,CSP,None,None,None,"Search your library for a snow land card, put it onto the battlefield tapped, then shuffle."
Hibernation's End,5.0,['G'],['G'],None,['Enchantment'],None,Rare,CSP,None,None,None,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhenever you pay Hibernation's End's cumulative upkeep, you may search your library for a creature card with mana value equal to the number of age counters on Hibernation's End, put it onto the battlefield, then shuffle."
Frostweb Spider,3.0,['G'],['G'],['Snow'],['Creature'],['Spider'],Common,CSP,1,3,None,"Reach (This creature can block creatures with flying.)\nWhenever Frostweb Spider blocks a creature with flying, put a +1/+1 counter on Frostweb Spider at end of combat."
Freyalise's Radiance,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,CSP,None,None,None,"Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nSnow permanents don't untap during their controllers' untap steps."
Bull Aurochs,2.0,['G'],['G'],None,['Creature'],['Aurochs'],Common,CSP,2,1,None,"Trample\nWhenever Bull Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs."
Arctic Nishoba,6.0,['G'],"['G', 'W']",None,['Creature'],"['Cat', 'Warrior']",Uncommon,CSP,6,6,None,"Trample\nCumulative upkeep {G} or {W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhen Arctic Nishoba dies, you gain 2 life for each age counter on it."
Brooding Saurian,4.0,['G'],['G'],None,['Creature'],['Lizard'],Rare,CSP,4,4,None,"At the beginning of each end step, each player gains control of all nontoken permanents they own."
Boreal Druid,1.0,['G'],['G'],['Snow'],['Creature'],"['Elf', 'Druid']",Common,CSP,1,1,None,{T}: Add {C}.
Boreal Centaur,2.0,['G'],['G'],['Snow'],['Creature'],"['Centaur', 'Warrior']",Common,CSP,2,2,None,{S}: Boreal Centaur gets +1/+1 until end of turn. Activate only once each turn. ({S} can be paid with one mana from a snow source.)
Aurochs Herd,6.0,['G'],['G'],None,['Creature'],['Aurochs'],Common,CSP,4,4,None,"Trample\nWhen Aurochs Herd enters the battlefield, you may search your library for an Aurochs card, reveal it, put it into your hand, then shuffle.\nWhenever Aurochs Herd attacks, it gets +1/+0 until end of turn for each other attacking Aurochs."
Thermopod,5.0,['R'],['R'],['Snow'],['Creature'],['Slug'],Common,CSP,4,3,None,{S}: Thermopod gains haste until end of turn. ({S} can be paid with one mana from a snow source.)\nSacrifice a creature: Add {R}.
Surging Flame,2.0,['R'],['R'],None,['Instant'],None,Common,CSP,None,None,None,"Ripple 4 (When you cast this spell, you may reveal the top four cards of your library. You may cast spells with the same name as this spell from among those cards without paying their mana costs. Put the rest on the bottom of your library.)\nSurging Flame deals 2 damage to any target."
Stalking Yeti,4.0,['R'],['R'],['Snow'],['Creature'],['Yeti'],Uncommon,CSP,3,3,None,"When Stalking Yeti enters the battlefield, if it's on the battlefield, it deals damage equal to its power to target creature an opponent controls and that creature deals damage equal to its power to Stalking Yeti.\n{2}{S}: Return Stalking Yeti to its owner's hand. Activate only as a sorcery. ({S} can be paid with one mana from a snow source.)"
Skred,1.0,['R'],['R'],None,['Instant'],None,Common,CSP,None,None,None,Skred deals damage to target creature equal to the number of snow permanents you control.
Rite of Flame,1.0,['R'],['R'],None,['Sorcery'],None,Common,CSP,None,None,None,"Add {R}{R}, then add {R} for each card named Rite of Flame in each graveyard."
Rimescale Dragon,7.0,['R'],['R'],['Snow'],['Creature'],['Dragon'],Rare,CSP,5,5,None,Flying\n{2}{S}: Tap target creature and put an ice counter on it. ({S} can be paid with one mana from a snow source.)\nCreatures with ice counters on them don't untap during their controllers' untap steps.
Orcish Bloodpainter,3.0,['R'],['R'],None,['Creature'],"['Orc', 'Shaman']",Common,CSP,2,1,None,"{T}, Sacrifice a creature: Orcish Bloodpainter deals 1 damage to any target."
Ohran Yeti,4.0,['R'],['R'],['Snow'],['Creature'],['Yeti'],Common,CSP,3,3,None,{2}{S}: Target snow creature gains first strike until end of turn. ({S} can be paid with one mana from a snow source.)
Martyr of Ashes,1.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,CSP,1,1,None,"{2}, Reveal X red cards from your hand, Sacrifice Martyr of Ashes: Martyr of Ashes deals X damage to each creature without flying."
Magmatic Core,4.0,['R'],['R'],None,['Enchantment'],None,Uncommon,CSP,None,None,None,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nAt the beginning of your end step, Magmatic Core deals X damage divided as you choose among any number of target creatures, where X is the number of age counters on it."
Lovisa Coldeyes,5.0,['R'],['R'],['Legendary'],['Creature'],['Human'],Rare,CSP,3,3,None,"Each creature that's a Barbarian, a Warrior, or a Berserker gets +2/+2 and has haste."
Lightning Storm,3.0,['R'],['R'],None,['Instant'],None,Uncommon,CSP,None,None,None,"Lightning Storm deals X damage to any target, where X is 3 plus the number of charge counters on Lightning Storm.\nDiscard a land card: Put two charge counters on Lightning Storm. You may choose a new target for it. Any player may activate this ability but only if Lightning Storm is on the stack."
Lightning Serpent,1.0,['R'],['R'],None,['Creature'],"['Elemental', 'Serpent']",Rare,CSP,2,1,None,"Trample, haste\nLightning Serpent enters the battlefield with X +1/+0 counters on it.\nAt the beginning of the end step, sacrifice Lightning Serpent."
Karplusan Wolverine,1.0,['R'],['R'],['Snow'],['Creature'],"['Wolverine', 'Beast']",Common,CSP,1,1,None,"Whenever Karplusan Wolverine becomes blocked, you may have it deal 1 damage to any target."
Karplusan Minotaur,4.0,['R'],['R'],None,['Creature'],"['Minotaur', 'Warrior']",Rare,CSP,3,3,None,"Cumulative upkeep—Flip a coin. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhenever you win a coin flip, Karplusan Minotaur deals 1 damage to any target.\nWhenever you lose a coin flip, Karplusan Minotaur deals 1 damage to any target of an opponent's choice."
Icefall,4.0,['R'],['R'],None,['Sorcery'],None,Common,CSP,None,None,None,"Destroy target artifact or land.\nRecover {R}{R} (When a creature is put into your graveyard from the battlefield, you may pay {R}{R}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)"
Greater Stone Spirit,6.0,['R'],['R'],None,['Creature'],"['Elemental', 'Spirit']",Uncommon,CSP,4,4,None,"Greater Stone Spirit can't be blocked by creatures with flying.\n{2}{R}: Until end of turn, target creature gets +0/+2 and gains ""{R}: This creature gets +1/+0 until end of turn."""
Goblin Rimerunner,3.0,['R'],['R'],['Snow'],['Creature'],"['Goblin', 'Warrior']",Common,CSP,2,2,None,{T}: Target creature can't block this turn.\n{S}: Goblin Rimerunner gains haste until end of turn. ({S} can be paid with one mana from a snow source.)
Goblin Furrier,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,CSP,2,2,None,Prevent all damage that Goblin Furrier would deal to snow creatures.
Fury of the Horde,7.0,['R'],['R'],None,['Sorcery'],None,Rare,CSP,None,None,None,"You may exile two red cards from your hand rather than pay this spell's mana cost.\nUntap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
Earthen Goo,3.0,['R'],"['G', 'R']",None,['Creature'],['Ooze'],Uncommon,CSP,2,2,None,"Trample\nCumulative upkeep {R} or {G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nEarthen Goo gets +1/+1 for each age counter on it."
Cryoclasm,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,CSP,None,None,None,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.
Braid of Fire,2.0,['R'],['R'],None,['Enchantment'],None,Rare,CSP,None,None,None,"Cumulative upkeep—Add {R}. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)"
Balduvian Warlord,4.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian']",Uncommon,CSP,3,2,None,"{T}: Remove target blocking creature from combat. Creatures it was blocking that hadn't become blocked by another creature this combat become unblocked, then it blocks an attacking creature of your choice. Activate only during the declare blockers step."
Balduvian Rage,1.0,['R'],['R'],None,['Instant'],None,Uncommon,CSP,None,None,None,Target attacking creature gets +X/+0 until end of turn.\nDraw a card at the beginning of the next turn's upkeep.
Zombie Musher,4.0,['B'],['B'],['Snow'],['Creature'],['Zombie'],Common,CSP,2,3,None,Snow landwalk (This creature can't be blocked as long as defending player controls a snow land.)\n{S}: Regenerate Zombie Musher. ({S} can be paid with one mana from a snow source.)
Void Maw,6.0,['B'],['B'],None,['Creature'],['Horror'],Rare,CSP,4,5,None,"Trample\nIf another creature would die, exile it instead.\nPut a card exiled with Void Maw into its owner's graveyard: Void Maw gets +2/+2 until end of turn."
Tresserhorn Skyknight,7.0,['B'],['B'],None,['Creature'],"['Zombie', 'Knight']",Uncommon,CSP,5,3,None,Flying\nPrevent all damage that would be dealt to Tresserhorn Skyknight by creatures with first strike.
Surging Dementia,2.0,['B'],['B'],None,['Sorcery'],None,Common,CSP,None,None,None,"Ripple 4 (When you cast this spell, you may reveal the top four cards of your library. You may cast spells with the same name as this spell from among those cards without paying their mana costs. Put the rest on the bottom of your library.)\nTarget player discards a card."
Stromgald Crusader,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Knight']",Uncommon,CSP,2,1,None,Protection from white\n{B}: Stromgald Crusader gains flying until end of turn.\n{B}{B}: Stromgald Crusader gets +1/+0 until end of turn.
