Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Megatron, Tyrant // Megatron, Destructive Force",6.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,7,5,None,"More Than Meets the Eye {1}{R}{W}{B} (You may cast this card converted for {1}{R}{W}{B}.)\nYour opponents can't cast spells during combat.\nAt the beginning of your postcombat main phase, you may convert Megatron. If you do, add {C} for each 1 life your opponents have lost this turn."
"Prowl, Stoic Strategist // Prowl, Pursuit Vehicle",4.0,['W'],['W'],['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,3,3,None,"More Than Meets the Eye {2}{W} (You may cast this card converted for {2}{W}.)\nWhenever Prowl attacks, exile up to one other target tapped creature or Vehicle. For as long as that card remains exiled, its owner may play it.\nWhenever a player plays a card exiled with Prowl, you draw a card and convert Prowl."
"Goldbug, Humanity's Ally // Goldbug, Scrappy Scout",3.0,"['U', 'W']","['U', 'W']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,3,3,None,"More Than Meets the Eye {W}{U} (You may cast this card converted for {W}{U}.)\nPrevent all combat damage that would be dealt to attacking Humans you control.\nWhenever you cast your second spell each turn, convert Goldbug."
"Jetfire, Ingenious Scientist // Jetfire, Air Guardian",5.0,['U'],['U'],['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,3,4,None,More Than Meets the Eye {3}{U} (You may cast this card converted for {3}{U}.)\nFlying\nRemove one or more +1/+1 counters from among artifacts you control: Target player adds that much {C}. This mana can't be spent to cast nonartifact spells. Convert Jetfire.
"Flamewar, Brash Veteran // Flamewar, Streetwise Operative",3.0,"['B', 'R']","['B', 'R']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,3,2,None,"More Than Meets the Eye {B}{R} (You may cast this card converted for {B}{R}.)\nSacrifice another artifact: Put a +1/+1 counter on Flamewar and convert it. Activate only as a sorcery.\n{1}, Discard your hand: Put all exiled cards you own with intel counters on them into your hand."
"Cyclonus, the Saboteur // Cyclonus, Cybertronian Fighter",4.0,"['B', 'U']","['B', 'U']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,2,5,None,"More Than Meets the Eye {5}{U}{B} (You may cast this card converted for {5}{U}{B}.)\nFlying\nWhenever Cyclonus deals combat damage to a player, it connives. Then if Cyclonus's power is 5 or greater, convert it. (To have a creature connive, draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)"
"Blaster, Combat DJ // Blaster, Morale Booster",5.0,"['G', 'R']","['G', 'R']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,3,3,None,"More Than Meets the Eye {1}{R}{G} (You may cast this card converted for {1}{R}{G}.)\nOther nontoken artifact creatures and Vehicles you control have modular 1. (They enter the battlefield with an additional +1/+1 counter on them. When they die, you may put their +1/+1 counters on target artifact creature.)\nWhenever you put one or more +1/+1 counters on Blaster, convert it."
"Arcee, Sharpshooter // Arcee, Acrobatic Coupe",3.0,"['R', 'W']","['R', 'W']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,2,2,None,"More Than Meets the Eye {R}{W} (You may cast this card converted for {R}{W}.)\nFirst strike\n{1}, Remove one or more +1/+1 counters from Arcee: It deals that much damage to target creature. Convert Arcee."
"Slicer, Hired Muscle // Slicer, High-Speed Antagonist",5.0,['R'],['R'],['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,3,4,None,"More Than Meets the Eye {2}{R} (You may cast this card converted for {2}{R}.)\nDouble strike, haste\nAt the beginning of each opponent's upkeep, you may have that player gain control of Slicer until end of turn. If you do, untap Slicer, goad it, and it can't be sacrificed this turn. If you don't, convert it."
"Ultra Magnus, Tactician // Ultra Magnus, Armored Carrier",7.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,7,7,None,"More Than Meets the Eye {2}{R}{G}{W} (You may cast this card converted for {2}{R}{G}{W}.)\nWard {2}\nWhenever Ultra Magnus attacks, you may put an artifact creature card from your hand onto the battlefield tapped and attacking. If you do, convert Ultra Magnus at end of combat."
"Starscream, Power Hungry // Starscream, Seeker Leader",4.0,['B'],['B'],['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,2,3,None,"More Than Meets the Eye {2}{B} (You may cast this card converted for {2}{B}.)\nFlying\nWhenever you draw a card, if you're the monarch, target opponent loses 2 life.\nWhenever one or more creatures deal combat damage to you, convert Starscream."
"Soundwave, Sonic Spy // Soundwave, Superior Captain",4.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],"['Artifact', 'Creature']",['Robot'],Mythic,BOT,5,4,None,"More Than Meets the Eye {2}{W}{U}{B} (You may cast this card converted for {2}{W}{U}{B}.)\nWhenever one or more creature tokens you control deal combat damage to a player, exile target instant or sorcery card with mana value equal to the damage dealt from their graveyard. Copy it. You may cast the copy without paying its mana cost. If you do, convert Soundwave."
