Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spirit of the Season,3.0,['G'],['G'],None,['Creature'],"['Treefolk', 'Spirit']",Uncommon,UND,3,3,None,"When Spirit of the Season enters the battlefield, it gains haste if it's summer. Put a +1/+1 counter on it if it's autumn. You gain 5 life if it's winter. If it's spring, search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Slaying Mantis,7.0,['G'],['G'],None,['Creature'],"['Insect', 'Wrestler']",Uncommon,UND,6,6,None,"Just a second (As long as this spell is on the stack, players can't move cards on the battlefield.)\nSlaying Mantis enters the battlefield by being thrown from a distance of at least three feet.\nWhen Slaying Mantis enters the battlefield, it fights each creature an opponent controls that it touched as it entered."
"Pippa, Duchess of Dice",3.0,['G'],"['G', 'U']",['Legendary'],['Creature'],"['Human', 'Noble']",Rare,UND,2,2,None,"{2}{G}, {T}: Roll a six-sided die. It becomes a green Die creature token with power and toughness each equal to its result.\n{2}{U}, {T}: Reroll any die. (Activate only any time it makes sense.)"
Growth Spurt,2.0,['G'],['G'],None,['Instant'],None,Common,UND,None,None,None,"Roll a six-sided die. Target creature gets +X/+X until end of turn, where X is the result."
Old Fogey,2.0,['G'],['G'],None,['Summon'],['Dinosaur'],Rare,UND,7,7,None,"Phasing, cumulative upkeep {1}, echo {G}{G}, fading 3, bands with other Dinosaurs, protection from Homarids, snow-covered plainswalk, flanking, rampage 2"
Free-Range Chicken,4.0,['G'],['G'],None,['Creature'],['Bird'],Common,UND,3,3,None,"{1}{G}: Roll two six-sided dice. If both results are the same, Free-Range Chicken gets +X/+X until end of turn, where X is that result. If the total of those results is equal to any other total you have rolled this turn for this ability, sacrifice it. (For example, if you roll two 3s, it gets +3/+3. If you roll a 4 and a 2 for this ability later that turn, sacrifice it.)"
Mother Kangaroo,5.0,['G'],['G'],['Host'],['Creature'],['Kangaroo'],Common,UND,1,1,None,"When this creature enters the battlefield, roll a six-sided die. Put a number of +1/+1 counters on this creature equal to the result."
"Half-Squirrel, Half-",0.0,['G'],['G'],None,['Creature'],['Squirrel'],Uncommon,UND,-1,-0,None,"Whenever a nontoken creature enters the battlefield,\nAugment {G} ({G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)"
Elvish Impersonators,4.0,['G'],['G'],None,['Creature'],['Elves'],Common,UND,*,*,None,"As Elvish Impersonators enters the battlefield, roll a six-sided die twice. Its base power becomes the first result and its base toughness becomes the second result."
Adorable Kitten,1.0,['W'],['W'],['Host'],['Creature'],['Cat'],Common,UND,1,1,None,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result."
Super-Duper Death Ray,3.0,['R'],['R'],None,['Instant'],None,Uncommon,UND,None,None,None,Trample (This spell can deal excess damage to its target's controller.)\nSuper-Duper Death Ray deals 4 damage to target creature.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,UND,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,UND,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,UND,None,None,None,({T}: Add {R}.)
Goblin Tutor,1.0,['R'],['R'],None,['Instant'],None,Uncommon,UND,None,None,None,"Roll a six-sided die. If you roll a 1, Goblin Tutor has no effect. Otherwise, search your library for the indicated card, reveal it, put it into your hand, then shuffle.\n2 — A card named Goblin Tutor\n3 — An enchantment\n4 — An artifact\n5 — A creature\n6 — An instant or sorcery"
Common Iguana,2.0,['R'],['R'],['Host'],['Creature'],['Lizard'],Common,UND,1,3,None,"When this creature enters the battlefield, you may discard a card. If you do, draw a card."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,UND,None,None,None,({T}: Add {R}.)
Blast from the Past,3.0,['R'],['R'],None,['Instant'],None,Rare,UND,None,None,None,"Madness {R}, cycling {1}{R}, kicker {2}{R}, flashback {3}{R}, buyback {4}{R}\nBlast from the Past deals 2 damage to any target. If this spell was kicked, create a 1/1 red Goblin creature token."
Stinging Scorpion,5.0,['B'],['B'],['Host'],['Creature'],['Scorpion'],Common,UND,3,2,None,"When this creature enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn."
Skull Saucer,6.0,['B'],['B'],None,['Creature'],"['Zombie', 'Head']",Uncommon,UND,4,1,None,"Flying\nWhen Skull Saucer enters the battlefield, destroy target creature and put your head on the table. Sacrifice Skull Saucer when your head stops touching the table."
Inhumaniac,2.0,['B'],['B'],None,['Creature'],['Brainiac'],Uncommon,UND,1,1,None,"At the beginning of your upkeep, roll a six-sided die. On a 3 or 4, put a +1/+1 counter on Inhumaniac. On a 5 or higher, put two +1/+1 counters on it. On a 1, remove all +1/+1 counters from Inhumaniac."
Infernal Spawn of Infernal Spawn of Evil,10.0,['B'],['B'],None,['Creature'],"['Demon', 'Child']",Rare,UND,8,8,None,"Flying, first strike, trample\nOnce each turn, while you're searching your library, you may pay {1}{B}, reveal Infernal Spawn of Infernal Spawn of Evil from your library and say ""I'm coming, too!"" If you do, Infernal Spawn of Infernal Spawn of Evil deals 2 damage to a player of your choice."
