Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Agent's Toolkit,3.0,"['G', 'U']","['G', 'U']",None,['Artifact'],['Clue'],Rare,PNCC,None,None,None,"Agent's Toolkit enters the battlefield with a +1/+1 counter, a flying counter, a deathtouch counter, and a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)\nWhenever a creature enters the battlefield under your control, you may move a counter from Agent's Toolkit onto that creature.\n{2}, Sacrifice Agent's Toolkit: Draw a card."
Industrial Advancement,4.0,['R'],['R'],None,['Enchantment'],None,Rare,PNCC,None,None,None,"At the beginning of your end step, you may sacrifice a creature. If you do, look at the top X cards of your library, where X is that creature's mana value. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order."
Determined Iteration,2.0,['R'],['R'],None,['Enchantment'],None,Rare,PNCC,None,None,None,"At the beginning of combat on your turn, populate. The token created this way gains haste. Sacrifice it at the beginning of the next end step. (To populate, create a token that's a copy of a creature token you control.)"
Vivien's Stampede,6.0,['G'],['G'],None,['Sorcery'],None,Rare,PNCC,None,None,None,"Each creature you control gains vigilance, trample, and melee until end of turn. (Whenever a creature with melee attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)\nAt the beginning of the next main phase this turn, draw a card for each player who was dealt combat damage this turn."
Xander's Pact,6.0,['B'],['B'],None,['Sorcery'],None,Rare,PNCC,None,None,None,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell.)\nEach opponent exiles the top card of their library. You may cast spells from among those cards this turn. If you cast a spell this way, pay life equal to that spell's mana value rather than pay its mana cost."
Scepter of Celebration,3.0,['G'],['G'],None,['Artifact'],['Equipment'],Rare,PNCC,None,None,None,"Equipped creature gets +2/+0 and has trample.\nWhenever equipped creature deals combat damage to a player, create that many 1/1 green and white Citizen creature tokens.\nEquip {3}"
Writ of Return,5.0,['B'],['B'],None,['Sorcery'],None,Rare,PNCC,None,None,None,"Return target creature card from your graveyard to the battlefield tapped.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Misfortune Teller,4.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Rare,PNCC,3,1,None,"Deathtouch\nWhenever Misfortune Teller enters the battlefield or deals combat damage to a player, exile target card from a graveyard. If it was a creature card, create a 2/2 black Rogue creature token. If it was a land card, create a Treasure token. Otherwise, you gain 3 life."
Skyboon Evangelist,5.0,['W'],['W'],None,['Creature'],"['Bird', 'Advisor']",Rare,PNCC,3,3,None,"Flying\nWhen Skyboon Evangelist enters the battlefield, support 6. (Put a +1/+1 counter on each of up to six other target creatures.)\nWhenever a creature with a counter on it attacks one of your opponents, that creature gains flying until end of turn."
Wave of Rats,4.0,['B'],['B'],None,['Creature'],['Rat'],Rare,PNCC,4,2,None,"Trample\nWhen Wave of Rats dies, if it dealt combat damage to a player this turn, return it to the battlefield under its owner's control.\nBlitz {4}{B} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)"
Weathered Sentinels,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Rare,PNCC,2,5,None,"Defender, vigilance, reach, trample\nWeathered Sentinels can attack players who attacked you during their last turn as though it didn't have defender.\nWhenever Weathered Sentinels attacks, it gets +3/+3 and gains indestructible until end of turn."
Park Heights Maverick,3.0,['G'],['G'],None,['Creature'],"['Human', 'Soldier']",Rare,PNCC,2,2,None,"Dethrone (Whenever this creature attacks the player with the most life or tied for the most life, put a +1/+1 counter on it.)\nPark Heights Maverick can't be blocked by creatures with power 2 or less.\nWhenever Park Heights Maverick deals combat damage to a player or dies, proliferate."
Extravagant Replication,6.0,['U'],['U'],None,['Enchantment'],None,Rare,PNCC,None,None,None,"At the beginning of your upkeep, create a token that's a copy of another target nonland permanent you control."
Next of Kin,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,PNCC,None,None,None,"Enchant creature\nWhen enchanted creature dies, you may put a creature card you own with lesser mana value from your hand or from the command zone onto the battlefield. If you do, return Next of Kin to the battlefield attached to that creature at the beginning of the next end step."
Damning Verdict,5.0,['W'],['W'],None,['Sorcery'],None,Rare,PNCC,None,None,None,Destroy all creatures with no counters on them.
Waste Management,3.0,['B'],['B'],None,['Instant'],None,Rare,PNCC,None,None,None,"Kicker {3}{B} (You may pay an additional {3}{B} as you cast this spell.)\nExile up to two target cards from a single graveyard. If this spell was kicked, instead exile target player's graveyard. Create a 2/2 black Rogue creature token for each creature card exiled this way."
Smuggler's Buggy,4.0,None,None,None,['Artifact'],['Vehicle'],Rare,PNCC,5,5,None,"Hideaway 4 (When this artifact enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\nWhenever Smuggler's Buggy deals combat damage to a player, you may cast the exiled card without paying its mana cost. If you do, return Smuggler's Buggy to its owner's hand.\nCrew 2"
Killer Service,3.0,['G'],['G'],None,['Enchantment'],None,Rare,PNCC,None,None,None,"When Killer Service enters the battlefield, create a number of Food tokens equal to the number of opponents you have. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\nAt the beginning of your end step, you may pay {2} and sacrifice a token. If you do, create a 4/4 green Rhino Warrior creature token."
Body Count,3.0,['B'],['B'],None,['Instant'],None,Rare,PNCC,None,None,None,Spectacle {B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nDraw a card for each creature that died under your control this turn.
First Responder,4.0,['G'],['G'],None,['Creature'],"['Ogre', 'Citizen']",Rare,PNCC,3,3,None,"Vigilance\nAt the beginning of your end step, you may return another creature you control to its owner's hand, then put a number of +1/+1 counters equal to that creature's power on First Responder."
Lethal Scheme,4.0,['B'],['B'],None,['Instant'],None,Rare,PNCC,None,None,None,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nDestroy target creature or planeswalker. Each creature that convoked Lethal Scheme connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)"
Family's Favor,3.0,['G'],['G'],None,['Enchantment'],None,Rare,PNCC,None,None,None,"Whenever you attack, put a shield counter on target attacking creature. Until end of turn, it gains ""Whenever this creature deals combat damage to a player, remove a shield counter from it. If you do, draw a card."" (If a creature with a shield counter on it would be dealt damage or destroyed, remove a shield counter from it instead.)"
Gavel of the Righteous,2.0,None,None,None,['Artifact'],['Equipment'],Rare,PNCC,None,None,None,"At the beginning of combat on your turn, put a charge counter on Gavel of the Righteous.\nEquipped creature gets +1/+1 for each counter on Gavel of the Righteous.\nAs long as Gavel of the Righteous has four or more counters on it, equipped creature has double strike.\nEquip—Pay {3} or remove a counter from Gavel of the Righteous."
Sinister Concierge,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,PNCC,2,1,None,"When Sinister Concierge dies, you may exile it and put three time counters on it. If you do, exile up to one target creature and put three time counters on it. Each card exiled this way that doesn't have suspend gains suspend. (For each card with suspend, its owner removes a time counter from it at the beginning of their upkeep. When the last is removed, they may cast it without paying its mana cost. Those creature spells have haste.)"
Boss's Chauffeur,5.0,['W'],['W'],None,['Creature'],"['Elf', 'Citizen']",Rare,PNCC,0,0,None,"Boss's Chauffeur enters the battlefield with a number of +1/+1 counters on it equal to one plus the number of other creatures you control.\nAlliance — Whenever another creature enters the battlefield under your control, put a +1/+1 counter on Boss's Chauffeur.\nWhen Boss's Chauffeur dies, create a 1/1 green and white Citizen creature token for each +1/+1 counter on it."
False Floor,4.0,None,None,None,['Artifact'],None,Rare,PNCC,None,None,None,"False Floor enters the battlefield tapped.\nCreatures enter the battlefield tapped.\n{2}, {T}, Exile False Floor: Exile all untapped creatures. Activate only as a sorcery."
