Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Scorpion God,5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],['God'],Mythic,HOU,6,5,None,"Whenever a creature with a -1/-1 counter on it dies, draw a card.\n{1}{B}{R}: Put a -1/-1 counter on another target creature.\nWhen The Scorpion God dies, return it to its owner's hand at the beginning of the next end step."
The Scarab God,5.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],['God'],Mythic,HOU,5,5,None,"At the beginning of your upkeep, each opponent loses X life and you scry X, where X is the number of Zombies you control.\n{2}{U}{B}: Exile target creature card from a graveyard. Create a token that's a copy of it, except it's a 4/4 black Zombie.\nWhen The Scarab God dies, return it to its owner's hand at the beginning of the next end step."
"Samut, the Tested",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Planeswalker'],['Samut'],Mythic,HOU,None,None,4,"[+1]: Up to one target creature gains double strike until end of turn.\n[−2]: Samut, the Tested deals 2 damage divided as you choose among one or two targets.\n[−7]: Search your library for up to two creature and/or planeswalker cards, put them onto the battlefield, then shuffle."
River Hoopoe,2.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Bird'],Uncommon,HOU,1,3,None,Flying\n{3}{G}{U}: You gain 2 life and draw a card.
Resolute Survivors,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Warrior']",Uncommon,HOU,3,3,None,"You may exert Resolute Survivors as it attacks. (It won't untap during your next untap step.)\nWhenever you exert a creature, Resolute Survivors deals 1 damage to each opponent and you gain 1 life."
Obelisk Spider,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Spider'],Uncommon,HOU,1,4,None,"Reach\nWhenever Obelisk Spider deals combat damage to a creature, put a -1/-1 counter on that creature.\nWhenever you put one or more -1/-1 counters on a creature, each opponent loses 1 life and you gain 1 life."
"Nicol Bolas, God-Pharaoh",7.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Planeswalker'],['Bolas'],Mythic,HOU,None,None,7,"[+2]: Target opponent exiles cards from the top of their library until they exile a nonland card. Until end of turn, you may cast that card without paying its mana cost.\n[+1]: Each opponent exiles two cards from their hand.\n[−4]: Nicol Bolas, God-Pharaoh deals 7 damage to target opponent, creature an opponent controls, or planeswalker an opponent controls.\n[−12]: Exile each nonland permanent your opponents control."
The Locust God,6.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],['God'],Mythic,HOU,4,4,None,"Flying\nWhenever you draw a card, create a 1/1 blue and red Insect creature token with flying and haste.\n{2}{U}{R}: Draw a card, then discard a card.\nWhen The Locust God dies, return it to its owner's hand at the beginning of the next end step."
Bloodwater Entity,3.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Elemental'],Uncommon,HOU,2,2,None,"Flying\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen Bloodwater Entity enters the battlefield, you may put target instant or sorcery card from your graveyard on top of your library."
Uncage the Menagerie,2.0,['G'],['G'],None,['Sorcery'],None,Mythic,HOU,None,None,None,"Search your library for up to X creature cards with different names that each have mana value X, reveal them, put them into your hand, then shuffle."
Frilled Sandwalla,1.0,['G'],['G'],None,['Creature'],['Lizard'],Common,HOU,1,1,None,{1}{G}: Frilled Sandwalla gets +2/+2 until end of turn. Activate only once each turn.
Harrier Naga,3.0,['G'],['G'],None,['Creature'],"['Naga', 'Warrior']",Common,HOU,3,3,None,None
Nissa's Defeat,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,HOU,None,None,None,"Destroy target Forest, green enchantment, or green planeswalker. If that permanent was a Nissa planeswalker, draw a card."
Hope Tender,2.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,HOU,2,2,None,"{1}, {T}: Untap target land.\n{1}, {T}, Exert Hope Tender: Untap two target lands. (An exerted creature won't untap during your next untap step.)"
Rhonas's Stalwart,2.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Common,HOU,2,2,None,"You may exert Rhonas's Stalwart as it attacks. When you do, it gets +1/+1 until end of turn and can't be blocked by creatures with power 2 or less this turn. (An exerted creature won't untap during your next untap step.)"
Kindled Fury,1.0,['R'],['R'],None,['Instant'],None,Common,HOU,None,None,None,Target creature gets +1/+0 and gains first strike until end of turn.
Magmaroth,4.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,HOU,5,5,None,"At the beginning of your upkeep, put a -1/-1 counter on Magmaroth.\nWhenever you cast a noncreature spell, remove a -1/-1 counter from Magmaroth."
Gift of Strength,2.0,['G'],['G'],None,['Instant'],None,Common,HOU,None,None,None,Target creature gets +3/+3 and gains reach until end of turn.
Sifter Wurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Uncommon,HOU,7,7,None,"Trample\nWhen Sifter Wurm enters the battlefield, scry 3, then reveal the top card of your library. You gain life equal to that card's mana value."
Feral Prowler,2.0,['G'],['G'],None,['Creature'],['Cat'],Common,HOU,1,3,None,"When Feral Prowler dies, draw a card."
