Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Windbrisk Heights,0.0,None,['W'],None,['Land'],None,Mythic,V12,None,None,None,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\nWindbrisk Heights enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn."
"Urborg, Tomb of Yawgmoth",0.0,None,None,['Legendary'],['Land'],None,Mythic,V12,None,None,None,Each land is a Swamp in addition to its other land types.
Murmuring Bosk,0.0,None,"['B', 'G', 'W']",None,['Land'],['Forest'],Mythic,V12,None,None,None,"({T}: Add {G}.)\nAs Murmuring Bosk enters the battlefield, you may reveal a Treefolk card from your hand. If you don't, Murmuring Bosk enters the battlefield tapped.\n{T}: Add {W} or {B}. Murmuring Bosk deals 1 damage to you."
Shivan Gorge,0.0,None,['R'],['Legendary'],['Land'],None,Mythic,V12,None,None,None,"{T}: Add {C}.\n{2}{R}, {T}: Shivan Gorge deals 1 damage to each opponent."
Maze of Ith,0.0,None,None,None,['Land'],None,Mythic,V12,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
High Market,0.0,None,None,None,['Land'],None,Mythic,V12,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice a creature: You gain 1 life."
Grove of the Burnwillows,0.0,None,"['G', 'R']",None,['Land'],None,Mythic,V12,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Each opponent gains 1 life.
Cephalid Coliseum,0.0,None,['U'],None,['Land'],None,Mythic,V12,None,None,None,"{T}: Add {U}. Cephalid Coliseum deals 1 damage to you.\nThreshold — {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate only if seven or more cards are in your graveyard."
"Boseiju, Who Shelters All",0.0,None,None,['Legendary'],['Land'],None,Mythic,V12,None,None,None,"Boseiju, Who Shelters All enters the battlefield tapped.\n{T}, Pay 2 life: Add {C}. If that mana is spent on an instant or sorcery spell, that spell can't be countered."
Glacial Chasm,0.0,None,None,None,['Land'],None,Mythic,V12,None,None,None,"Cumulative upkeep—Pay 2 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhen Glacial Chasm enters the battlefield, sacrifice a land.\nCreatures you control can't attack.\nPrevent all damage that would be dealt to you."
Ancient Tomb,0.0,None,None,None,['Land'],None,Mythic,V12,None,None,None,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
Forbidden Orchard,0.0,None,None,None,['Land'],None,Mythic,V12,None,None,None,"{T}: Add one mana of any color.\nWhenever you tap Forbidden Orchard for mana, target opponent creates a 1/1 colorless Spirit creature token."
Dryad Arbor,0.0,['G'],['G'],None,"['Land', 'Creature']","['Forest', 'Dryad']",Mythic,V12,1,1,None,"(Dryad Arbor isn't a spell, it's affected by summoning sickness, and it has ""{T}: Add {G}."")"
Desert,0.0,None,None,None,['Land'],['Desert'],Mythic,V12,None,None,None,{T}: Add {C}.\n{T}: Desert deals 1 damage to target attacking creature. Activate only during the end of combat step.
Vesuva,0.0,None,None,None,['Land'],None,Mythic,V12,None,None,None,You may have Vesuva enter the battlefield tapped as a copy of any land on the battlefield.
