Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Kjeldoran Pride,2.0,['W'],"['U', 'W']",None,['Enchantment'],['Aura'],Common,CST,None,None,None,Enchant creature\nEnchanted creature gets +1/+2.\n{2}{U}: Attach Kjeldoran Pride to target creature other than enchanted creature.
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Uncommon,CST,None,None,None,Exile target creature. Its controller gains life equal to its power.
Binding Grasp,4.0,['U'],['U'],None,['Enchantment'],['Aura'],Uncommon,CST,None,None,None,"Enchant creature\nAt the beginning of your upkeep, sacrifice Binding Grasp unless you pay {1}{U}.\nYou control enchanted creature.\nEnchanted creature gets +0/+1."
Brainstorm,1.0,['U'],['U'],None,['Instant'],None,Common,CST,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Balduvian Dead,4.0,['B'],"['B', 'R']",None,['Creature'],['Zombie'],Uncommon,CST,2,3,None,"{2}{R}, Exile a creature card from your graveyard: Create a 3/1 black and red Graveborn creature token with haste. Sacrifice it at the beginning of the next end step."
Phantasmal Fiend,4.0,['B'],"['B', 'U']",None,['Creature'],['Illusion'],Common,CST,1,5,None,{B}: Phantasmal Fiend gets +1/-1 until end of turn.\n{1}{U}: Switch Phantasmal Fiend's power and toughness until end of turn.
Storm Elemental,6.0,['U'],['U'],None,['Creature'],['Elemental'],Uncommon,CST,3,4,None,"Flying\n{U}, Exile the top card of your library: Tap target creature with flying.\n{U}, Exile the top card of your library: If the exiled card is a snow land, Storm Elemental gets +1/+1 until end of turn."
Insidious Bookworms,1.0,['B'],['B'],None,['Creature'],['Worm'],Common,CST,1,1,None,"When Insidious Bookworms dies, you may pay {1}{B}. If you do, target player discards a card at random."
Casting of Bones,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,CST,None,None,None,"Enchant creature\nWhen enchanted creature dies, draw three cards, then discard one of them."
Kjeldoran Elite Guard,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,CST,2,2,None,"{T}: Target creature gets +2/+2 until end of turn. When that creature leaves the battlefield this turn, sacrifice Kjeldoran Elite Guard. Activate only during combat."
