Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sylvan Caryatid,2.0,['G'],['G'],None,['Creature'],['Plant'],Rare,PTHS,0,3,None,"Defender, hexproof\n{T}: Add one mana of any color."
Abhorrent Overlord,7.0,['B'],['B'],None,['Creature'],['Demon'],Rare,PTHS,6,6,None,"Flying\nWhen Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)\nAt the beginning of your upkeep, sacrifice a creature."
Shipbreaker Kraken,6.0,['U'],['U'],None,['Creature'],['Kraken'],Rare,PTHS,6,6,None,"{6}{U}{U}: Monstrosity 4. (If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)\nWhen Shipbreaker Kraken becomes monstrous, tap up to four target creatures. Those creatures don't untap during their controllers' untap steps for as long as you control Shipbreaker Kraken."
Ember Swallower,4.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,PTHS,4,5,None,"{5}{R}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)\nWhen Ember Swallower becomes monstrous, each player sacrifices three lands."
Nighthowler,3.0,['B'],['B'],None,"['Enchantment', 'Creature']",['Horror'],Rare,PTHS,0,0,None,"Bestow {2}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nNighthowler and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards."
"Anthousa, Setessan Hero",5.0,['G'],['G'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,PTHS,4,5,None,"Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands."
Celestial Archon,5.0,['W'],['W'],None,"['Enchantment', 'Creature']",['Archon'],Rare,PTHS,4,4,None,"Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nFlying, first strike\nEnchanted creature gets +4/+4 and has flying and first strike."
Karametra's Acolyte,4.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,PTHS,1,4,None,{T}: Add an amount of {G} equal to your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)
Phalanx Leader,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,PTHS,1,1,None,"Heroic — Whenever you cast a spell that targets Phalanx Leader, put a +1/+1 counter on each creature you control."
Bident of Thassa,4.0,['U'],['U'],['Legendary'],"['Enchantment', 'Artifact']",None,Rare,PTHS,None,None,None,"Whenever a creature you control deals combat damage to a player, you may draw a card.\n{1}{U}, {T}: Creatures your opponents control attack this turn if able."
