Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sanitarium Skeleton,1.0,['B'],['B'],None,['Creature'],['Skeleton'],Common,SOI,1,2,None,{2}{B}: Return Sanitarium Skeleton from your graveyard to your hand.
Rottenheart Ghoul,4.0,['B'],['B'],None,['Creature'],['Zombie'],Common,SOI,2,4,None,"When Rottenheart Ghoul dies, target player discards a card."
Relentless Dead,2.0,['B'],['B'],None,['Creature'],['Zombie'],Mythic,SOI,2,2,None,"Menace (This creature can't be blocked except by two or more creatures.)\nWhen Relentless Dead dies, you may pay {B}. If you do, return it to its owner's hand.\nWhen Relentless Dead dies, you may pay {X}. If you do, return another target Zombie creature card with mana value X from your graveyard to the battlefield."
Rancid Rats,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Rat']",Common,SOI,1,1,None,Skulk (This creature can't be blocked by creatures with greater power.)\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Pick the Brain,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,SOI,None,None,None,"Target opponent reveals their hand. You choose a nonland card from it and exile that card.\nDelirium — If there are four or more card types among cards in your graveyard, search that player's graveyard, hand, and library for any number of cards with the same name as the exiled card, exile those cards, then that player shuffles."
Pale Rider of Trostad,2.0,['B'],['B'],None,['Creature'],['Spirit'],Uncommon,SOI,3,3,None,"Skulk (This creature can't be blocked by creatures with greater power.)\nWhen Pale Rider of Trostad enters the battlefield, discard a card."
Olivia's Bloodsworn,2.0,['B'],"['B', 'R']",None,['Creature'],"['Vampire', 'Soldier']",Uncommon,SOI,2,1,None,Flying\nOlivia's Bloodsworn can't block.\n{R}: Target Vampire gains haste until end of turn.
Murderous Compulsion,2.0,['B'],['B'],None,['Sorcery'],None,Common,SOI,None,None,None,"Destroy target tapped creature.\nMadness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Thraben Gargoyle // Stonewing Antagonizer,1.0,None,None,None,"['Artifact', 'Creature']",['Gargoyle'],Uncommon,SOI,2,2,None,Defender\n{6}: Transform Thraben Gargoyle.
Morkrut Necropod,6.0,['B'],['B'],None,['Creature'],"['Slug', 'Horror']",Uncommon,SOI,7,7,None,"Menace (This creature can't be blocked except by two or more creatures.)\nWhenever Morkrut Necropod attacks or blocks, sacrifice another creature or land."
Mindwrack Demon,4.0,['B'],['B'],None,['Creature'],['Demon'],Mythic,SOI,4,5,None,"Flying, trample\nWhen Mindwrack Demon enters the battlefield, mill four cards.\nDelirium — At the beginning of your upkeep, you lose 4 life unless there are four or more card types among cards in your graveyard."
Merciless Resolve,3.0,['B'],['B'],None,['Instant'],None,Common,SOI,None,None,None,"As an additional cost to cast this spell, sacrifice a creature or land.\nDraw two cards."
Markov Dreadknight,5.0,['B'],['B'],None,['Creature'],"['Vampire', 'Knight']",Rare,SOI,3,3,None,"Flying\n{2}{B}, Discard a card: Put two +1/+1 counters on Markov Dreadknight."
Macabre Waltz,2.0,['B'],['B'],None,['Sorcery'],None,Common,SOI,None,None,None,"Return up to two target creature cards from your graveyard to your hand, then discard a card."
Tamiyo's Journal,5.0,None,None,['Legendary'],['Artifact'],None,Rare,SOI,None,None,None,"At the beginning of your upkeep, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\n{T}, Sacrifice three Clues: Search your library for a card, put that card into your hand, then shuffle."
Liliana's Indignation,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,SOI,None,None,None,Mill X cards. Target player loses 2 life for each creature card put into your graveyard this way.
Slayer's Plate,3.0,None,None,None,['Artifact'],['Equipment'],Rare,SOI,None,None,None,"Equipped creature gets +4/+2.\nWhenever equipped creature dies, if it was a Human, create a 1/1 white Spirit creature token with flying.\nEquip {3}"
Skeleton Key,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SOI,None,None,None,"Equipped creature has skulk. (It can't be blocked by creatures with greater power.)\nWhenever equipped creature deals combat damage to a player, you may draw a card. If you do, discard a card.\nEquip {2}"
Kindly Stranger // Demon-Possessed Witch,3.0,['B'],['B'],None,['Creature'],['Human'],Uncommon,SOI,2,3,None,Delirium — {2}{B}: Transform Kindly Stranger. Activate only if there are four or more card types among cards in your graveyard.
Shard of Broken Glass,1.0,None,None,None,['Artifact'],['Equipment'],Common,SOI,None,None,None,"Equipped creature gets +1/+0.\nWhenever equipped creature attacks, you may mill two cards.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Indulgent Aristocrat,1.0,['B'],['B'],None,['Creature'],"['Vampire', 'Noble']",Uncommon,SOI,1,1,None,"Lifelink\n{2}, Sacrifice a creature: Put a +1/+1 counter on each Vampire you control."
Runaway Carriage,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,SOI,5,6,None,"Trample\nWhen Runaway Carriage attacks or blocks, sacrifice it at end of combat."
Hound of the Farbogs,5.0,['B'],['B'],None,['Creature'],"['Zombie', 'Dog']",Common,SOI,5,3,None,Delirium — Hound of the Farbogs has menace as long as there are four or more card types among cards in your graveyard. (A creature with menace can't be blocked except by two or more creatures.)
Neglected Heirloom // Ashmouth Blade,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SOI,None,None,None,"Equipped creature gets +1/+1.\nWhen equipped creature transforms, transform Neglected Heirloom.\nEquip {1}"
Heir of Falkenrath // Heir to the Night,2.0,['B'],['B'],None,['Creature'],['Vampire'],Uncommon,SOI,2,1,None,Discard a card: Transform Heir of Falkenrath. Activate only once each turn.
Murderer's Axe,4.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SOI,None,None,None,Equipped creature gets +2/+2.\nEquip—Discard a card.
Grotesque Mutation,2.0,['B'],['B'],None,['Instant'],None,Common,SOI,None,None,None,Target creature gets +3/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
Magnifying Glass,3.0,None,None,None,['Artifact'],None,Uncommon,SOI,None,None,None,"{T}: Add {C}.\n{4}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Gisa's Bidding,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,SOI,None,None,None,"Create two 2/2 black Zombie creature tokens.\nMadness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Haunted Cloak,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SOI,None,None,None,"Equipped creature has vigilance, trample, and haste.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Ghoulsteed,5.0,['B'],['B'],None,['Creature'],"['Zombie', 'Horse']",Uncommon,SOI,4,4,None,"{2}{B}, Discard two cards: Return Ghoulsteed from your graveyard to the battlefield tapped."
Ghoulcaller's Accomplice,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Common,SOI,2,2,None,"{3}{B}, Exile Ghoulcaller's Accomplice from your graveyard: Create a 2/2 black Zombie creature token. Activate only as a sorcery."
Harvest Hand // Scrounged Scythe,3.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Uncommon,SOI,2,2,None,"When Harvest Hand dies, return it to the battlefield transformed under your control."
From Under the Floorboards,5.0,['B'],['B'],None,['Sorcery'],None,Rare,SOI,None,None,None,"Madness {X}{B}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)\nCreate three tapped 2/2 black Zombie creature tokens and you gain 3 life. If this spell's madness cost was paid, instead create X of those tokens and you gain X life."
Explosive Apparatus,1.0,None,None,None,['Artifact'],None,Common,SOI,None,None,None,"{3}, {T}, Sacrifice Explosive Apparatus: It deals 2 damage to any target."
Farbog Revenant,3.0,['B'],['B'],None,['Creature'],['Spirit'],Common,SOI,1,3,None,Skulk (This creature can't be blocked by creatures with greater power.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.)
Epitaph Golem,5.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,SOI,3,5,None,{2}: Put target card from your graveyard on the bottom of your library.
Ever After,6.0,['B'],['B'],None,['Sorcery'],None,Rare,SOI,None,None,None,Return up to two target creature cards from your graveyard to the battlefield. Each of those creatures is a black Zombie in addition to its other colors and types. Put Ever After on the bottom of its owner's library.
Corrupted Grafstone,2.0,None,None,None,['Artifact'],None,Rare,SOI,None,None,None,Corrupted Grafstone enters the battlefield tapped.\n{T}: Choose a color of a card in your graveyard. Add one mana of that color.
Brain in a Jar,2.0,None,None,None,['Artifact'],None,Rare,SOI,None,None,None,"{1}, {T}: Put a charge counter on Brain in a Jar, then you may cast an instant or sorcery spell with mana value equal to the number of charge counters on Brain in a Jar from your hand without paying its mana cost.\n{3}, {T}, Remove X charge counters from Brain in a Jar: Scry X."
Elusive Tormentor // Insidious Mist,4.0,['B'],"['B', 'U']",None,['Creature'],"['Vampire', 'Wizard']",Rare,SOI,4,4,None,"{1}, Discard a card: Transform Elusive Tormentor."
"Sorin, Grim Nemesis",6.0,"['B', 'W']","['B', 'W']",['Legendary'],['Planeswalker'],['Sorin'],Mythic,SOI,None,None,6,"[+1]: Reveal the top card of your library and put that card into your hand. Each opponent loses life equal to its mana value.\n[−X]: Sorin, Grim Nemesis deals X damage to target creature or planeswalker and you gain X life.\n[−9]: Create a number of 1/1 black Vampire Knight creature tokens with lifelink equal to the highest life total among all players."
Diregraf Colossus,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Giant']",Rare,SOI,2,2,None,"Diregraf Colossus enters the battlefield with a +1/+1 counter on it for each Zombie card in your graveyard.\nWhenever you cast a Zombie spell, create a tapped 2/2 black Zombie creature token."
"Sigarda, Heron's Grace",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,SOI,4,5,None,"Flying\nYou and Humans you control have hexproof.\n{2}, Exile a card from your graveyard: Create a 1/1 white Human Soldier creature token."
Dead Weight,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,SOI,None,None,None,Enchant creature\nEnchanted creature gets -2/-2.
Prized Amalgam,3.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Zombie'],Rare,SOI,3,3,None,"Whenever a creature enters the battlefield, if it entered from your graveyard or you cast it from your graveyard, return Prized Amalgam from your graveyard to the battlefield tapped at the beginning of the next end step."
Trail of Evidence,3.0,['U'],['U'],None,['Enchantment'],None,Uncommon,SOI,None,None,None,"Whenever you cast an instant or sorcery spell, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
"Olivia, Mobilized for War",3.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Vampire', 'Knight']",Mythic,SOI,3,3,None,"Flying\nWhenever another creature enters the battlefield under your control, you may discard a card. If you do, put a +1/+1 counter on that creature, it gains haste until end of turn, and it becomes a Vampire in addition to its other types."
Biting Rain,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,SOI,None,None,None,"All creatures get -2/-2 until end of turn.\nMadness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
