Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Knight of the Reliquary,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Human', 'Knight']",Rare,CON,2,2,None,"Knight of the Reliquary gets +1/+1 for each land card in your graveyard.\n{T}, Sacrifice a Forest or Plains: Search your library for a land card, put it onto the battlefield, then shuffle."
Maelstrom Archangel,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",None,['Creature'],['Angel'],Mythic,CON,5,5,None,"Flying\nWhenever Maelstrom Archangel deals combat damage to a player, you may cast a spell from your hand without paying its mana cost."
Magister Sphinx,7.0,"['B', 'U', 'W']","['B', 'U', 'W']",None,"['Artifact', 'Creature']",['Sphinx'],Rare,CON,5,5,None,"Flying\nWhen Magister Sphinx enters the battlefield, target player's life total becomes 10."
Knotvine Mystic,3.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Creature'],"['Elf', 'Druid']",Uncommon,CON,2,2,None,"{1}, {T}: Add {R}{G}{W}."
Jhessian Balmgiver,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Human', 'Cleric']",Uncommon,CON,1,1,None,{T}: Prevent the next 1 damage that would be dealt to any target this turn.\n{T}: Target creature can't be blocked this turn.
Wild Leotau,4.0,['G'],['G'],None,['Creature'],['Cat'],Common,CON,5,4,None,"At the beginning of your upkeep, sacrifice Wild Leotau unless you pay {G}."
Giltspire Avenger,3.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Creature'],"['Human', 'Soldier']",Rare,CON,2,2,None,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{T}: Destroy target creature that dealt damage to you this turn."
"Gwafa Hazid, Profiteer",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Rogue']",Rare,CON,2,2,None,"{W}{U}, {T}: Put a bribery counter on target creature you don't control. Its controller draws a card.\nCreatures with bribery counters on them can't attack or block."
Hellkite Hatchling,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Dragon'],Uncommon,CON,2,2,None,"Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)\nHellkite Hatchling has flying and trample if it devoured a creature."
Goblin Outlander,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Goblin', 'Scout']",Common,CON,2,2,None,Protection from white
Soul's Majesty,5.0,['G'],['G'],None,['Sorcery'],None,Rare,CON,None,None,None,Draw cards equal to the power of target creature you control.
