Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Nullmage Advocate,3.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Common,PC2,2,3,None,{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target artifact or enchantment.
Nest Invader,2.0,['G'],['G'],None,['Creature'],"['Eldrazi', 'Drone']",Common,PC2,2,2,None,"When Nest Invader enters the battlefield, create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this creature: Add {C}."""
Mycoloth,5.0,['G'],['G'],None,['Creature'],['Fungus'],Rare,PC2,4,4,None,"Devour 2 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with twice that many +1/+1 counters on it.)\nAt the beginning of your upkeep, create a 1/1 green Saproling creature token for each +1/+1 counter on Mycoloth."
Mitotic Slime,5.0,['G'],['G'],None,['Creature'],['Ooze'],Rare,PC2,4,4,None,"When Mitotic Slime dies, create two 2/2 green Ooze creature tokens. They have ""When this creature dies, create two 1/1 green Ooze creature tokens."""
Lumberknot,4.0,['G'],['G'],None,['Creature'],['Treefolk'],Uncommon,PC2,1,1,None,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nWhenever a creature dies, put a +1/+1 counter on Lumberknot."
Gluttonous Slime,3.0,['G'],['G'],None,['Creature'],['Ooze'],Uncommon,PC2,2,2,None,"Flash\nDevour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)"
Dreampod Druid,2.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,PC2,2,2,None,"At the beginning of each upkeep, if Dreampod Druid is enchanted, create a 1/1 green Saproling creature token."
Dowsing Shaman,5.0,['G'],['G'],None,['Creature'],"['Centaur', 'Shaman']",Uncommon,PC2,3,4,None,"{2}{G}, {T}: Return target enchantment card from your graveyard to your hand."
Jwar Isle Refuge,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,PC2,None,None,None,"Jwar Isle Refuge enters the battlefield tapped.\nWhen Jwar Isle Refuge enters the battlefield, you gain 1 life.\n{T}: Add {U} or {B}."
Gruul Turf,0.0,None,"['G', 'R']",None,['Land'],None,Common,PC2,None,None,None,"Gruul Turf enters the battlefield tapped.\nWhen Gruul Turf enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {R}{G}."
Graypelt Refuge,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,PC2,None,None,None,"Graypelt Refuge enters the battlefield tapped.\nWhen Graypelt Refuge enters the battlefield, you gain 1 life.\n{T}: Add {G} or {W}."
Exotic Orchard,0.0,None,None,None,['Land'],None,Rare,PC2,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
Cultivate,3.0,['G'],['G'],None,['Sorcery'],None,Common,PC2,None,None,None,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
Dimir Aqueduct,0.0,None,"['B', 'U']",None,['Land'],None,Common,PC2,None,None,None,"Dimir Aqueduct enters the battlefield tapped.\nWhen Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {U}{B}."
Brutalizer Exarch,6.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Cleric']",Uncommon,PC2,3,3,None,"When Brutalizer Exarch enters the battlefield, choose one —\n• Search your library for a creature card, reveal it, then shuffle and put that card on top.\n• Put target noncreature permanent on the bottom of its owner's library."
Noggle Ransacker,3.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Noggle', 'Rogue']",Uncommon,PC2,2,1,None,"When Noggle Ransacker enters the battlefield, each player draws two cards, then discards a card at random."
Sai of the Shinobi,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PC2,None,None,None,"Equipped creature gets +1/+1.\nWhenever a creature enters the battlefield under your control, you may attach Sai of the Shinobi to it.\nEquip {2}"
Brindle Shoat,2.0,['G'],['G'],None,['Creature'],['Boar'],Uncommon,PC2,1,1,None,"When Brindle Shoat dies, create a 3/3 green Boar creature token."
Bramble Elemental,5.0,['G'],['G'],None,['Creature'],['Elemental'],Common,PC2,4,4,None,"Whenever an Aura becomes attached to Bramble Elemental, create two 1/1 green Saproling creature tokens."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PC2,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PC2,None,None,None,({T}: Add {G}.)
Thran Golem,5.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,PC2,3,3,None,"As long as Thran Golem is enchanted, it gets +2/+2 and has flying, first strike, and trample."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PC2,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PC2,None,None,None,({T}: Add {G}.)
Beast Within,3.0,['G'],['G'],None,['Instant'],None,Uncommon,PC2,None,None,None,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PC2,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PC2,None,None,None,({T}: Add {G}.)
Boar Umbra,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,PC2,None,None,None,"Enchant creature\nEnchanted creature gets +3/+3.\nTotem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)"
Quietus Spike,3.0,None,None,None,['Artifact'],['Equipment'],Rare,PC2,None,None,None,"Equipped creature has deathtouch.\nWhenever equipped creature deals combat damage to a player, that player loses half their life, rounded up.\nEquip {3}"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PC2,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PC2,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PC2,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PC2,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PC2,None,None,None,({T}: Add {B}.)
Awakening Zone,3.0,['G'],['G'],None,['Enchantment'],None,Rare,PC2,None,None,None,"At the beginning of your upkeep, you may create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this creature: Add {C}."""
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PC2,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PC2,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PC2,None,None,None,({T}: Add {B}.)
Mark of Mutiny,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PC2,None,None,None,Gain control of target creature until end of turn. Put a +1/+1 counter on it and untap it. That creature gains haste until end of turn. (It can attack and {T} this turn.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PC2,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PC2,None,None,None,({T}: Add {U}.)
Concentrate,4.0,['U'],['U'],None,['Sorcery'],None,Uncommon,PC2,None,None,None,Draw three cards.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PC2,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PC2,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PC2,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PC2,None,None,None,({T}: Add {U}.)
Kor Spiritdancer,2.0,['W'],['W'],None,['Creature'],"['Kor', 'Wizard']",Rare,PC2,0,2,None,"Kor Spiritdancer gets +2/+2 for each Aura attached to it.\nWhenever you cast an Aura spell, you may draw a card."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PC2,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PC2,None,None,None,({T}: Add {W}.)
Celestial Ancient,5.0,['W'],['W'],None,['Creature'],['Elemental'],Rare,PC2,3,3,None,"Flying\nWhenever you cast an enchantment spell, put a +1/+1 counter on each creature you control."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PC2,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PC2,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PC2,None,None,None,({T}: Add {W}.)
Kazandu Refuge,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,PC2,None,None,None,"Kazandu Refuge enters the battlefield tapped.\nWhen Kazandu Refuge enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G}."
Khalni Garden,0.0,None,['G'],None,['Land'],None,Common,PC2,None,None,None,"Khalni Garden enters the battlefield tapped.\nWhen Khalni Garden enters the battlefield, create a 0/1 green Plant creature token.\n{T}: Add {G}."
Vivid Creek,0.0,None,['U'],None,['Land'],None,Uncommon,PC2,None,None,None,"Vivid Creek enters the battlefield tapped with two charge counters on it.\n{T}: Add {U}.\n{T}, Remove a charge counter from Vivid Creek: Add one mana of any color."
Mammoth Umbra,5.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,PC2,None,None,None,"Enchant creature\nEnchanted creature gets +3/+3 and has vigilance.\nTotem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)"
Warstorm Surge,6.0,['R'],['R'],None,['Enchantment'],None,Rare,PC2,None,None,None,"Whenever a creature enters the battlefield under your control, it deals damage equal to its power to any target."
"Vitu-Ghazi, the City-Tree",0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,PC2,None,None,None,"{T}: Add {C}.\n{2}{G}{W}, {T}: Create a 1/1 green Saproling creature token."
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,PC2,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
