Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Red Sun's Twilight,2.0,['R'],['R'],None,['Sorcery'],None,Rare,PONE,None,None,None,"Destroy up to X target artifacts. If X is 5 or more, for each artifact destroyed this way, create a token that's a copy of it. Those tokens gain haste. Exile them at the beginning of the next end step."
Darkslick Shores,0.0,None,"['B', 'U']",None,['Land'],None,Rare,PONE,None,None,None,Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {U} or {B}.
"Vraan, Executioner Thane",2.0,['B'],['B'],['Legendary'],['Creature'],"['Phyrexian', 'Vampire']",Rare,PONE,2,2,None,"Whenever one or more other creatures you control die, each opponent loses 2 life and you gain 2 life. This ability triggers only once each turn."
"Malcator, Purity Overseer",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Phyrexian', 'Elephant', 'Wizard']",Rare,PONE,1,1,None,"When Malcator, Purity Overseer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token.\nAt the beginning of your end step, if three or more artifacts entered the battlefield under your control this turn, create a 3/3 colorless Phyrexian Golem artifact creature token."
"Jace, the Perfected Mind",4.0,['U'],['U'],['Legendary'],['Planeswalker'],['Jace'],Mythic,PONE,None,None,5,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)\n[+1]: Until your next turn, up to one target creature gets -3/-0.\n[−2]: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.\n[−X]: Target player mills three times X cards."
Ichormoon Gauntlet,3.0,['U'],['U'],None,['Artifact'],None,Mythic,PONE,None,None,None,"Planeswalkers you control have ""[0]: Proliferate"" and ""[−12]: Take an extra turn after this one.""\nWhenever you cast a noncreature spell, choose a counter on target permanent. Put an additional counter of that kind on that permanent."
Encroaching Mycosynth,4.0,['U'],['U'],None,['Artifact'],None,Rare,PONE,None,None,None,Nonland permanents you control are artifacts in addition to their other types. The same is true for permanent spells you control and nonland permanent cards you own that aren't on the battlefield.
Copperline Gorge,0.0,None,"['G', 'R']",None,['Land'],None,Rare,PONE,None,None,None,Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {R} or {G}.
Blue Sun's Twilight,2.0,['U'],['U'],None,['Sorcery'],None,Rare,PONE,None,None,None,"Gain control of target creature with mana value X or less. If X is 5 or more, create a token that's a copy of that creature."
Mercurial Spelldancer,2.0,['U'],['U'],None,['Creature'],"['Phyrexian', 'Rogue']",Rare,PONE,2,1,None,"Mercurial Spelldancer can't be blocked.\nWhenever you cast a noncreature spell, put an oil counter on Mercurial Spelldancer.\nWhenever Mercurial Spelldancer deals combat damage to a player, you may remove two oil counters from it. If you do, when you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
