Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Runecarved Obelisk,4.0,None,None,None,['Artifact'],None,Uncommon,YOTJ,None,None,None,"{T}: Add {C}{C}. Put two charge counters on Runecarved Obelisk.\n{T}, Sacrifice Runecarved Obelisk: Seek a card with the highest mana value among cards in your library with mana value X or less, where X is the number of charge counters on Runecarved Obelisk."
Silent Extraction,2.0,"['G', 'U']","['G', 'U']",None,['Instant'],None,Uncommon,YOTJ,None,None,None,"Choose target spell. Counter that spell unless its controller pays {2}.\nThreshold — If seven or more cards are in your graveyard, seek a creature card with the same mana value as the chosen spell."
"Nashi, Illusion Gadgeteer",4.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Rat', 'Rogue']",Rare,YOTJ,4,4,None,"Menace, Ward {2}\nWhen Nashi enters the battlefield, secretly choose a card in your graveyard and conjure a duplicate of it into your hand. If the duplicate isn't a land card, it perpetually gains flash."
Intruder's Inquisition,2.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Uncommon,YOTJ,None,None,None,"Target creature you control deals damage equal to its power to target creature an opponent controls. If excess damage was dealt to a creature this way, its controller discards a card with the greatest mana value among cards in their hand."
"Grenzo, Crooked Jailer",6.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Goblin', 'Rogue']",Rare,YOTJ,6,4,None,"When Grenzo enters the battlefield and at the beginning of your upkeep, heist target opponent's library.\nOnce each turn, you may pay {0} rather than pay the mana cost for a spell you cast that you don't own."
Emperor Apatzec Intli IV,3.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Noble']",Mythic,YOTJ,3,4,None,"Whenever another creature enters the battlefield under your control, that creature perpetually gains haste if its power is 4 or greater. If its toughness is 4 or greater, you gain 4 life. If its mana value is 4 or greater, seek a creature card."
Cathartic Operation,5.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Uncommon,YOTJ,None,None,None,"Return up to two target creature cards from your graveyard to your hand, then seek two noncreature, nonland cards."
"Albiorix, Goose Tyrant // Wild Goose Chase",3.0,"['U', 'G']","['G', 'U']",['Legendary'],['Creature'],['Bird'],Rare,YOTJ,3,3,None,"Flying, Trample, Ward {1}\nWhenever you sacrifice a token, Albiorix perpetually gets +1/+1. This ability also triggers if Albiorix is in exile."
Jet Collector,2.0,['G'],['G'],None,['Creature'],"['Merfolk', 'Scout']",Rare,YOTJ,2,2,None,"At the beginning of your postcombat main phase, if four or more cards are in your graveyard, conjure a card named Mox Jet into your hand. This ability triggers only once.\n{X}{B}: Put target creature card with mana value X from your graveyard onto the battlefield with a finality counter on it. Activate only as a sorcery."
Resolute Rejection,2.0,['W'],['W'],None,['Instant'],None,Uncommon,YOTJ,None,None,None,"Target tapped creature perpetually loses all abilities, then Resolute Rejection deals 4 damage to it.\nCycling {2}"
Switchgrass Grazer,4.0,['R'],['R'],None,['Creature'],"['Horse', 'Mount']",Uncommon,YOTJ,4,4,None,"Haste\nWhenever Switchgrass Grazer attacks, it deals 1 damage to any target. If Switchgrass Grazer is saddled and a creature was dealt damage this way, that creature perpetually gains ""This creature can't block"" and ""Damage isn't removed from this creature during cleanup steps.""\nSaddle 1"
Blooming Cactusfolk,5.0,['G'],['G'],None,['Creature'],"['Plant', 'Druid']",Rare,YOTJ,5,5,None,"Trample\nAt the beginning of your end step, nonland cards in your hand perpetually gain ""This spell {1} costs less to cast."""
"Jessie Zane, Fangbringer",3.0,['G'],['G'],['Legendary'],['Creature'],"['Human', 'Assassin']",Mythic,YOTJ,3,4,None,"Deathtouch\nWhen Jessie Zane enters the battlefield and whenever you cast a Snake spell, conjure a card named Ambush Viper into the top six cards of your library at random. It perpetually gains ""When this creature enters the battlefield, draw a card."""
Wagon Wrecker,2.0,['R'],['R'],None,['Creature'],"['Ogre', 'Mercenary']",Rare,YOTJ,2,1,None,"Menace\nWhenever Wagon Wrecker deals combat damage to a player, a random nonland card in that player's hand perpetually gains ""When you cast this spell, you lose 2 life."""
Sapphire Collector,3.0,['R'],['R'],None,['Creature'],"['Human', 'Mercenary']",Rare,YOTJ,3,3,None,"Prowess\nWhen you cast your second noncreature spell in a turn, conjure a card named Mox Sapphire into your hand. This ability triggers only once.\n{2}{U}: Target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost."
Impetuous Lootmonger,2.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Uncommon,YOTJ,2,2,None,"First strike\nWhen Impetuous Lootmonger enters the battlefield, discard a card, then heist target opponent's library.\nWhenever you cast a spell you don't own, create a Treasure token."
"Rankle, Pitiless Trickster",3.0,['B'],['B'],['Legendary'],['Creature'],"['Faerie', 'Rogue']",Mythic,YOTJ,1,3,None,"Flying\nRankle has lifelink and haste as long as an opponent controls no creatures.\nWhen Rankle enters the battlefield, you may pay 1 life. When you do, each player discards a card and sacrifices a creature.\nWhenever a player discards a card, Rankle perpetually gets +1/+0."
Pearl Collector,3.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Rare,YOTJ,3,3,None,"Deathtouch, Lifelink\nAt the beginning of your postcombat main phase, if you gained 4 or more life this turn, conjure a card named Mox Pearl into your hand. This ability triggers only once.\n{2}{W}: Another target creature perpetually gains lifelink."
Grave Expectations,1.0,['B'],['B'],None,['Instant'],None,Uncommon,YOTJ,None,None,None,Choose one —\n• Heist target opponent's library.\n• Exile up to three target cards from your opponents' graveyards. You gain 3 life.
Thieving Aven,3.0,['U'],['U'],None,['Creature'],"['Bird', 'Rogue']",Uncommon,YOTJ,1,4,None,"Flying\nWhenever Thieving Aven deals combat damage to a player, heist target opponent's library.\nWhenever you cast a spell you don't own, put a +1/+1 counter on Thieving Aven."
Ruby Collector,1.0,['W'],['W'],None,['Creature'],"['Human', 'Detective']",Rare,YOTJ,1,1,None,"When you attack with three or more creatures, conjure a card named Mox Ruby into your hand. This ability triggers only once.\n{1}{R}: Creatures you control get +1/+0 until end of turn."
Solitary Defiance,3.0,['U'],['U'],None,['Enchantment'],None,Rare,YOTJ,None,None,None,"As long as you control exactly one creature, that creature has vigilance and ward {2}.\nWhenever a creature you control attacks alone, seek two nonland cards, then discard a card."
Prairie Survivalist,2.0,['W'],['W'],None,['Creature'],"['Human', 'Scout']",Rare,YOTJ,0,1,None,"Flying\nAt the beginning of combat on your turn, target creature you control perpetually gets +1/+0. Then choose a creature card in your hand. It perpetually gets +1/+0."
Emerald Collector,2.0,['U'],['U'],None,['Creature'],"['Human', 'Pirate']",Rare,YOTJ,1,2,None,"Whenever Emerald Collector deals combat damage to a player, draw a card.\nWhen you draw your third card in a turn, conjure a card named Mox Emerald into your hand. This ability triggers only once.\n{2}{G}: Emerald Collector has base power and toughness 4/4 until end of turn."
Stalwart Realmwarden,3.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,YOTJ,2,2,None,"First strike, Lifelink\nWhen Stalwart Realmwarden enters the battlefield, the next noncreature spell target opponent casts costs {2} more to cast."
