Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Endbringer's Revel,3.0,['B'],['B'],None,['Enchantment'],None,Uncommon,PCY,None,None,None,{4}: Return target creature card from a graveyard to its owner's hand. Any player may activate this ability but only as a sorcery.
Despoil,4.0,['B'],['B'],None,['Sorcery'],None,Common,PCY,None,None,None,Destroy target land. Its controller loses 2 life.
Death Charmer,3.0,['B'],['B'],None,['Creature'],"['Worm', 'Mercenary']",Common,PCY,2,2,None,"Whenever Death Charmer deals combat damage to a creature, that creature's controller loses 2 life unless they pay {2}."
Coffin Puppets,5.0,['B'],['B'],None,['Creature'],['Zombie'],Rare,PCY,3,3,None,Sacrifice two lands: Return Coffin Puppets from your graveyard to the battlefield. Activate only during your upkeep and only if you control a Swamp.
Ribbon Snake,3.0,['U'],['U'],None,['Creature'],['Snake'],Common,PCY,2,3,None,Flying\n{2}: Ribbon Snake loses flying until end of turn. Any player may activate this ability.
Avatar of Woe,8.0,['B'],['B'],None,['Creature'],['Avatar'],Rare,PCY,6,5,None,"If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast.\nFear (This creature can't be blocked except by artifact creatures and/or black creatures.)\n{T}: Destroy target creature. It can't be regenerated."
Bog Glider,3.0,['B'],['B'],None,['Creature'],"['Human', 'Mercenary']",Common,PCY,1,1,None,"Flying\n{T}, Sacrifice a land: Search your library for a Mercenary permanent card with mana value 2 or less, put it onto the battlefield, then shuffle."
Chilling Apparition,3.0,['B'],['B'],None,['Creature'],['Spirit'],Uncommon,PCY,1,1,None,"{B}: Regenerate Chilling Apparition.\nWhenever Chilling Apparition deals combat damage to a player, that player discards a card."
Bog Elemental,5.0,['B'],['B'],None,['Creature'],['Elemental'],Rare,PCY,5,4,None,"Protection from white\nAt the beginning of your upkeep, sacrifice Bog Elemental unless you sacrifice a land."
Agent of Shauku,2.0,['B'],['B'],None,['Creature'],"['Human', 'Mercenary']",Common,PCY,1,1,None,"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn."
Withdraw,2.0,['U'],['U'],None,['Instant'],None,Common,PCY,None,None,None,Return target creature to its owner's hand. Then return another target creature to its owner's hand unless its controller pays {1}.
Windscouter,4.0,['U'],['U'],None,['Creature'],"['Human', 'Scout']",Uncommon,PCY,3,3,None,"Flying\nWhen Windscouter attacks or blocks, return it to its owner's hand at end of combat. (Return it only if it's on the battlefield.)"
Troublesome Spirit,4.0,['U'],['U'],None,['Creature'],['Spirit'],Rare,PCY,3,4,None,"Flying\nAt the beginning of your end step, tap all lands you control."
Sunken Field,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Uncommon,PCY,None,None,None,"Enchant land\nEnchanted land has ""{T}: Counter target spell unless its controller pays {1}."""
Shrouded Serpent,7.0,['U'],['U'],None,['Creature'],['Serpent'],Rare,PCY,4,4,None,"Whenever Shrouded Serpent attacks, defending player may pay {4}. If that player doesn't, Shrouded Serpent can't be blocked this turn."
Stormwatch Eagle,4.0,['U'],['U'],None,['Creature'],['Bird'],Common,PCY,2,1,None,Flying\nSacrifice a land: Return Stormwatch Eagle to its owner's hand.
Rhystic Study,3.0,['U'],['U'],None,['Enchantment'],None,Common,PCY,None,None,None,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}."
Spiketail Hatchling,2.0,['U'],['U'],None,['Creature'],['Drake'],Common,PCY,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.
Spiketail Drake,5.0,['U'],['U'],None,['Creature'],['Drake'],Uncommon,PCY,3,3,None,Flying\nSacrifice Spiketail Drake: Counter target spell unless its controller pays {3}.
Rhystic Scrying,4.0,['U'],['U'],None,['Sorcery'],None,Uncommon,PCY,None,None,None,"Draw three cards. Then if any player pays {2}, discard three cards."
Quicksilver Wall,3.0,['U'],['U'],None,['Creature'],['Wall'],Uncommon,PCY,1,6,None,Defender (This creature can't attack.)\n{4}: Return Quicksilver Wall to its owner's hand. Any player may activate this ability.
Hazy Homunculus,2.0,['U'],['U'],None,['Creature'],"['Homunculus', 'Illusion']",Common,PCY,1,1,None,Hazy Homunculus can't be blocked as long as defending player controls an untapped land.
