Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Wildfire,6.0,['R'],['R'],None,['Sorcery'],None,Rare,USG,None,None,None,Each player sacrifices four lands. Wildfire deals 4 damage to each creature.
Viashino Weaponsmith,4.0,['R'],['R'],None,['Creature'],['Viashino'],Common,USG,2,2,None,"Whenever Viashino Weaponsmith becomes blocked by a creature, Viashino Weaponsmith gets +2/+2 until end of turn."
Viashino Runner,4.0,['R'],['R'],None,['Creature'],['Viashino'],Common,USG,3,2,None,Menace (This creature can't be blocked except by two or more creatures.)
Torch Song,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,USG,None,None,None,"At the beginning of your upkeep, you may put a verse counter on Torch Song.\n{2}{R}, Sacrifice Torch Song: It deals X damage to any target, where X is the number of verse counters on Torch Song."
Sulfuric Vapors,4.0,['R'],['R'],None,['Enchantment'],None,Rare,USG,None,None,None,"If a red spell would deal damage to a permanent or player, it deals that much damage plus 1 to that permanent or player instead."
Sneak Attack,4.0,['R'],['R'],None,['Enchantment'],None,Rare,USG,None,None,None,{R}: You may put a creature card from your hand onto the battlefield. That creature gains haste. Sacrifice the creature at the beginning of the next end step.
Shiv's Embrace,4.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,USG,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and has flying.\n{R}: Enchanted creature gets +1/+0 until end of turn.
Shivan Hellkite,7.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,USG,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{R}: Shivan Hellkite deals 1 damage to any target.
Goblin Spelunkers,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,USG,2,2,None,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Scald,2.0,['R'],['R'],None,['Enchantment'],None,Uncommon,USG,None,None,None,"Whenever a player taps an Island for mana, Scald deals 1 damage to that player."
Goblin War Buggy,2.0,['R'],['R'],None,['Creature'],['Goblin'],Common,USG,2,2,None,"Haste\nEcho {1}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)"
Rumbling Crescendo,5.0,['R'],['R'],None,['Enchantment'],None,Rare,USG,None,None,None,"At the beginning of your upkeep, you may put a verse counter on Rumbling Crescendo.\n{R}, Sacrifice Rumbling Crescendo: Destroy up to X target lands, where X is the number of verse counters on Rumbling Crescendo."
Rain of Salt,6.0,['R'],['R'],None,['Sorcery'],None,Uncommon,USG,None,None,None,Destroy two target lands.
Lay Waste,4.0,['R'],['R'],None,['Sorcery'],None,Common,USG,None,None,None,"Destroy target land.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Jagged Lightning,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,USG,None,None,None,Jagged Lightning deals 3 damage to each of two target creatures.
Lightning Dragon,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,USG,4,4,None,"Flying\nEcho {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{R}: Lightning Dragon gets +1/+0 until end of turn."
Heat Ray,1.0,['R'],['R'],None,['Instant'],None,Common,USG,None,None,None,Heat Ray deals X damage to target creature.
Goblin Raider,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,USG,2,2,None,Goblin Raider can't block.
Goblin Offensive,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,USG,None,None,None,Create X 1/1 red Goblin creature tokens.
Goblin Lackey,1.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,USG,1,1,None,"Whenever Goblin Lackey deals damage to a player, you may put a Goblin permanent card from your hand onto the battlefield."
Gamble,1.0,['R'],['R'],None,['Sorcery'],None,Rare,USG,None,None,None,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle."
Fire Ants,3.0,['R'],['R'],None,['Creature'],['Insect'],Uncommon,USG,2,1,None,{T}: Fire Ants deals 1 damage to each other creature without flying.
Fault Line,2.0,['R'],['R'],None,['Instant'],None,Rare,USG,None,None,None,Fault Line deals X damage to each creature without flying and each player.
Electryte,5.0,['R'],['R'],None,['Creature'],"['Trilobite', 'Beast']",Rare,USG,3,3,None,"Whenever Electryte deals combat damage to defending player, it deals damage equal to its power to each blocking creature."
Disorder,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,USG,None,None,None,Disorder deals 2 damage to each white creature and each player who controls a white creature.
