Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DD2,None,None,None,({T}: Add {R}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DD2,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DD2,None,None,None,({T}: Add {U}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DD2,None,None,None,({T}: Add {R}.)
Terrain Generator,0.0,None,None,None,['Land'],None,Uncommon,DD2,None,None,None,"{T}: Add {C}.\n{2}, {T}: You may put a basic land card from your hand onto the battlefield tapped."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DD2,None,None,None,({T}: Add {R}.)
Condescend,1.0,['U'],['U'],None,['Instant'],None,Common,DD2,None,None,None,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DD2,None,None,None,({T}: Add {R}.)
Keldon Megaliths,0.0,None,['R'],None,['Land'],None,Uncommon,DD2,None,None,None,"Keldon Megaliths enters the battlefield tapped.\n{T}: Add {R}.\nHellbent — {1}{R}, {T}: Keldon Megaliths deals 1 damage to any target. Activate only if you have no cards in hand."
Demonfire,1.0,['R'],['R'],None,['Sorcery'],None,Rare,DD2,None,None,None,"Demonfire deals X damage to any target. If a creature dealt damage this way would die this turn, exile it instead.\nHellbent — If you have no cards in hand, this spell can't be countered and the damage can't be prevented."
Gush,5.0,['U'],['U'],None,['Instant'],None,Common,DD2,None,None,None,You may return two Islands you control to their owner's hand rather than pay this spell's mana cost.\nDraw two cards.
Fact or Fiction,4.0,['U'],['U'],None,['Instant'],None,Uncommon,DD2,None,None,None,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
Repulse,3.0,['U'],['U'],None,['Instant'],None,Common,DD2,None,None,None,Return target creature to its owner's hand.\nDraw a card.
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DD2,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Counterspell,2.0,['U'],['U'],None,['Instant'],None,Common,DD2,None,None,None,Counter target spell.
Fireblast,6.0,['R'],['R'],None,['Instant'],None,Common,DD2,None,None,None,You may sacrifice two Mountains rather than pay this spell's mana cost.\nFireblast deals 4 damage to any target.
Cone of Flame,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DD2,None,None,None,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target."
Flame Javelin,6.0,['R'],['R'],None,['Instant'],None,Uncommon,DD2,None,None,None,({2/R} can be paid with any two mana or with {R}. This card's mana value is 6.)\nFlame Javelin deals 4 damage to any target.
Daze,2.0,['U'],['U'],None,['Instant'],None,Common,DD2,None,None,None,You may return an Island you control to its owner's hand rather than pay this spell's mana cost.\nCounter target spell unless its controller pays {1}.
Magma Jet,2.0,['R'],['R'],None,['Instant'],None,Uncommon,DD2,None,None,None,Magma Jet deals 2 damage to any target. Scry 2.
Mind Stone,2.0,None,None,None,['Artifact'],None,Uncommon,DD2,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Mind Stone: Draw a card."
Incinerate,2.0,['R'],['R'],None,['Instant'],None,Common,DD2,None,None,None,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
Ancestral Vision,0.0,['U'],['U'],None,['Sorcery'],None,Rare,DD2,None,None,None,"Suspend 4—{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)\nTarget player draws three cards."
Seal of Fire,1.0,['R'],['R'],None,['Enchantment'],None,Common,DD2,None,None,None,Sacrifice Seal of Fire: It deals 2 damage to any target.
Errant Ephemeron,7.0,['U'],['U'],None,['Creature'],['Illusion'],Common,DD2,4,4,None,"Flying\nSuspend 4—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)"
Firebolt,1.0,['R'],['R'],None,['Sorcery'],None,Common,DD2,None,None,None,Firebolt deals 2 damage to any target.\nFlashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Quicksilver Dragon,6.0,['U'],['U'],None,['Creature'],['Dragon'],Rare,DD2,5,5,None,"Flying\n{U}: If target spell has only one target and that target is Quicksilver Dragon, change that spell's target to another creature.\nMorph {4}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Hostility,6.0,['R'],['R'],None,['Creature'],"['Elemental', 'Incarnation']",Rare,DD2,6,6,None,"Haste\nIf a spell you control would deal damage to an opponent, prevent that damage. Create a 3/1 red Elemental Shaman creature token with haste for each 1 damage prevented this way.\nWhen Hostility is put into a graveyard from anywhere, shuffle it into its owner's library."
Brine Elemental,6.0,['U'],['U'],None,['Creature'],['Elemental'],Uncommon,DD2,5,4,None,"Morph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Brine Elemental is turned face up, each opponent skips their next untap step."
Chartooth Cougar,6.0,['R'],['R'],None,['Creature'],"['Cat', 'Beast']",Common,DD2,4,4,None,"{R}: Chartooth Cougar gets +1/+0 until end of turn.\nMountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)"
Aethersnipe,6.0,['U'],['U'],None,['Creature'],['Elemental'],Common,DD2,4,4,None,"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.\nEvoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Oxidda Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,DD2,3,2,None,Affinity for Mountains (This spell costs {1} less to cast for each Mountain you control.)\nHaste
Ingot Chewer,5.0,['R'],['R'],None,['Creature'],['Elemental'],Common,DD2,3,3,None,"When Ingot Chewer enters the battlefield, destroy target artifact.\nEvoke {R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
