Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Venomcrawler,4.0,['B'],['B'],None,"['Artifact', 'Creature']",['Demon'],Rare,40K,2,2,None,"Lifelink\nDevourer of Souls — Whenever another creature dies, put a +1/+1 counter on Venomcrawler."
Bone Sabres,3.0,['G'],['G'],None,['Artifact'],['Equipment'],Rare,40K,None,None,None,"Whenever equipped creature attacks, put four +1/+1 counters on it.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Blasphemous Act,9.0,['R'],['R'],None,['Sorcery'],None,Rare,40K,None,None,None,This spell costs {1} less to cast for each creature on the battlefield.\nBlasphemous Act deals 13 damage to each creature.
Memorial to Glory,0.0,None,['W'],None,['Land'],None,Uncommon,40K,None,None,None,"Memorial to Glory enters the battlefield tapped.\n{T}: Add {W}.\n{3}{W}, {T}, Sacrifice Memorial to Glory: Create two 1/1 white Soldier creature tokens."
Triarch Stalker,5.0,['B'],['B'],None,"['Artifact', 'Creature']",['Necron'],Rare,40K,4,5,None,"Targeting Relay — At the beginning of combat on your turn, choose an opponent.\nCreatures attacking the last chosen player have menace."
Molten Slagheap,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,40K,None,None,None,"{T}: Add {C}.\n{1}, {T}: Put a storage counter on Molten Slagheap.\n{1}, Remove X storage counters from Molten Slagheap: Add X mana in any combination of {B} and/or {R}."
Convergence of Dominion,3.0,None,None,None,['Artifact'],None,Rare,40K,None,None,None,"Dynastic Command Node — As long as you control your commander, activated abilities of cards in your graveyard cost {2} less to activate. This effect can't reduce the mana in that ability's activation cost to less than one mana.\nTranslocation Protocols — {3}, {T}: Mill three cards."
Chaos Warp,3.0,['R'],['R'],None,['Instant'],None,Rare,40K,None,None,None,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield."
Myriad Landscape,0.0,None,None,None,['Land'],None,Uncommon,40K,None,None,None,"Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle."
Martial Coup,2.0,['W'],['W'],None,['Sorcery'],None,Rare,40K,None,None,None,"Create X 1/1 white Soldier creature tokens. If X is 5 or more, destroy all other creatures."
Triarch Praetorian,2.0,['B'],['B'],None,"['Artifact', 'Creature']",['Necron'],Uncommon,40K,2,1,None,"Flying\nDynastic Codes — When Triarch Praetorian enters the battlefield from a graveyard, you draw two cards and you lose 2 life.\nUnearth {4}{B} ({4}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Uncommon,40K,None,None,None,Exile target creature. Its controller gains life equal to its power.
Canoptek Wraith,3.0,None,None,None,"['Artifact', 'Creature']",['Wraith'],Rare,40K,2,1,None,"Wraith Form — Canoptek Wraith can't be blocked.\nTransdimensional Scout — When Canoptek Wraith deals combat damage to a player, you may pay {3} and sacrifice it. If you do, choose a land you control. Then search your library for up to two basic land cards which have the same name as the chosen land, put them onto the battlefield tapped, then shuffle."
Past in Flames,4.0,['R'],['R'],None,['Sorcery'],None,Mythic,40K,None,None,None,Each instant and sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost.\nFlashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Opal Palace,0.0,None,None,None,['Land'],None,Common,40K,None,None,None,"{T}: Add {C}.\n{1}, {T}: Add one mana of any color in your commander's color identity. If you spend this mana to cast your commander, it enters the battlefield with a number of additional +1/+1 counters on it equal to the number of times it's been cast from the command zone this game."
Reverberate,2.0,['R'],['R'],None,['Instant'],None,Rare,40K,None,None,None,Copy target instant or sorcery spell. You may choose new targets for the copy.
