Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Revelation,1.0,['G'],['G'],['World'],['Enchantment'],None,Rare,BCHR,None,None,None,Players play with their hands revealed.
The Fallen,4.0,['B'],['B'],None,['Creature'],['Zombie'],Uncommon,BCHR,2,3,None,"At the beginning of your upkeep, The Fallen deals 1 damage to each opponent and planeswalker it has dealt damage to this game."
Rabid Wombat,4.0,['G'],['G'],None,['Creature'],['Wombat'],Uncommon,BCHR,0,1,None,Vigilance\nRabid Wombat gets +2/+2 for each Aura attached to it.
Metamorphosis,1.0,['G'],['G'],None,['Sorcery'],None,Common,BCHR,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nAdd X mana of any one color, where X is 1 plus the sacrificed creature's mana value. Spend this mana only to cast creature spells."
Ghazbán Ogre,1.0,['G'],['G'],None,['Creature'],['Ogre'],Common,BCHR,2,2,None,"At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Ghazbán Ogre."
Erhnam Djinn,4.0,['G'],['G'],None,['Creature'],['Djinn'],Uncommon,BCHR,4,5,None,"At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)"
Emerald Dragonfly,2.0,['G'],['G'],None,['Creature'],['Insect'],Common,BCHR,1,1,None,Flying\n{G}{G}: Emerald Dragonfly gains first strike until end of turn.
Cyclone,4.0,['G'],['G'],None,['Enchantment'],None,Rare,BCHR,None,None,None,"At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player."
Craw Giant,7.0,['G'],['G'],None,['Creature'],['Giant'],Uncommon,BCHR,6,4,None,"Trample\nRampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)"
Concordant Crossroads,1.0,['G'],['G'],['World'],['Enchantment'],None,Rare,BCHR,None,None,None,All creatures have haste.
Cocoon,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,BCHR,None,None,None,"Enchant creature you control\nWhen Cocoon enters the battlefield, tap enchanted creature and put three pupa counters on Cocoon.\nEnchanted creature doesn't untap during your untap step if Cocoon has a pupa counter on it.\nAt the beginning of your upkeep, remove a pupa counter from Cocoon. If you can't, sacrifice it, put a +1/+1 counter on enchanted creature, and that creature gains flying."
Takklemaggot,4.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,BCHR,None,None,None,"Enchant creature\nAt the beginning of the upkeep of enchanted creature's controller, put a -0/-1 counter on that creature.\nWhen enchanted creature dies, that creature's controller chooses a creature that Takklemaggot could enchant. If the player does, return Takklemaggot to the battlefield under your control attached to that creature. If they don't, return Takklemaggot to the battlefield under your control as a non-Aura enchantment. It loses ""enchant creature"" and gains ""At the beginning of that player's upkeep, Takklemaggot deals 1 damage to that player."""
Beasts of Bogardan,5.0,['R'],['R'],None,['Creature'],['Beast'],Uncommon,BCHR,3,3,None,Protection from red\nBeasts of Bogardan gets +1/+1 as long as an opponent controls a nontoken white permanent.
Wall of Heat,3.0,['R'],['R'],None,['Creature'],['Wall'],Common,BCHR,2,6,None,Defender (This creature can't attack.)
Argothian Pixies,2.0,['G'],['G'],None,['Creature'],['Faerie'],Common,BCHR,2,1,None,Argothian Pixies can't be blocked by artifact creatures.\nPrevent all damage that would be dealt to Argothian Pixies by artifact creatures.
Cat Warriors,3.0,['G'],['G'],None,['Creature'],"['Cat', 'Warrior']",Common,BCHR,2,2,None,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Wall of Opposition,5.0,['R'],['R'],None,['Creature'],['Wall'],Uncommon,BCHR,0,6,None,Defender (This creature can't attack.)\n{1}: Wall of Opposition gets +1/+0 until end of turn.
The Wretched,5.0,['B'],['B'],None,['Creature'],['Demon'],Rare,BCHR,2,5,None,"At end of combat, gain control of all creatures blocking The Wretched for as long as you control The Wretched."
Primordial Ooze,1.0,['R'],['R'],None,['Creature'],['Ooze'],Uncommon,BCHR,1,1,None,"Primordial Ooze attacks each combat if able.\nAt the beginning of your upkeep, put a +1/+1 counter on Primordial Ooze. Then you may pay {X}, where X is the number of +1/+1 counters on it. If you don't, tap Primordial Ooze and it deals X damage to you."
Mountain Yeti,4.0,['R'],['R'],None,['Creature'],['Yeti'],Common,BCHR,3,3,None,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)\nProtection from white
Land's Edge,3.0,['R'],['R'],['World'],['Enchantment'],None,Rare,BCHR,None,None,None,"Discard a card: If the discarded card was a land card, Land's Edge deals 2 damage to target player or planeswalker. Any player may activate this ability."
Goblin Digging Team,1.0,['R'],['R'],None,['Creature'],['Goblin'],Common,BCHR,1,1,None,"{T}, Sacrifice Goblin Digging Team: Destroy target Wall."
Shimian Night Stalker,5.0,['B'],['B'],None,['Creature'],['Nightstalker'],Uncommon,BCHR,4,4,None,"{B}, {T}: All damage that would be dealt to you this turn by target attacking creature is dealt to Shimian Night Stalker instead."
Goblin Shrine,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,BCHR,None,None,None,"Enchant land\nAs long as enchanted land is a basic Mountain, Goblin creatures get +1/+0.\nWhen Goblin Shrine leaves the battlefield, it deals 1 damage to each Goblin creature."
Goblins of the Flarg,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,BCHR,1,1,None,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)\nWhen you control a Dwarf, sacrifice Goblins of the Flarg."
Hell's Caretaker,4.0,['B'],['B'],None,['Creature'],['Horror'],Rare,BCHR,1,1,None,"{T}, Sacrifice a creature: Return target creature card from your graveyard to the battlefield. Activate only during your upkeep."
Blood Moon,3.0,['R'],['R'],None,['Enchantment'],None,Rare,BCHR,None,None,None,Nonbasic lands are Mountains.
Aladdin,4.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Uncommon,BCHR,1,1,None,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin."
Hasran Ogress,2.0,['B'],['B'],None,['Creature'],['Ogre'],Common,BCHR,3,2,None,"Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}."
Goblin Artisans,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Artificer']",Uncommon,BCHR,1,1,None,"{T}: Flip a coin. If you win the flip, draw a card. If you lose the flip, counter target artifact spell you control that isn't the target of an ability from another creature named Goblin Artisans."
Fire Drake,3.0,['R'],['R'],None,['Creature'],['Drake'],Uncommon,BCHR,1,2,None,Flying\n{R}: Fire Drake gets +1/+0 until end of turn. Activate only once each turn.
Active Volcano,1.0,['R'],['R'],None,['Instant'],None,Common,BCHR,None,None,None,Choose one —\n• Destroy target blue permanent.\n• Return target Island to its owner's hand.
Giant Slug,2.0,['B'],['B'],None,['Creature'],['Slug'],Common,BCHR,1,1,None,"{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn. (It can't be blocked as long as defending player controls a land of that type.)"
Fallen Angel,5.0,['B'],['B'],None,['Creature'],['Angel'],Uncommon,BCHR,3,3,None,Flying\nSacrifice a creature: Fallen Angel gets +2/+1 until end of turn.
Cuombajj Witches,2.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Common,BCHR,1,3,None,{T}: Cuombajj Witches deals 1 damage to any target and 1 damage to any target of an opponent's choice.
Bog Rats,1.0,['B'],['B'],None,['Creature'],['Rat'],Common,BCHR,1,1,None,Bog Rats can't be blocked by Walls.
Banshee,4.0,['B'],['B'],None,['Creature'],['Spirit'],Uncommon,BCHR,0,1,None,"{X}, {T}: Banshee deals half X damage, rounded down, to any target, and half X damage, rounded up, to you."
Wall of Wonder,4.0,['U'],['U'],None,['Creature'],['Wall'],Uncommon,BCHR,1,5,None,Defender (This creature can't attack.)\n{2}{U}{U}: Wall of Wonder gets +4/-4 until end of turn and can attack this turn as though it didn't have defender.
Wall of Vapor,4.0,['U'],['U'],None,['Creature'],['Wall'],Common,BCHR,0,1,None,Defender (This creature can't attack.)\nPrevent all damage that would be dealt to Wall of Vapor by creatures it's blocking.
